Protein	Strain,,Genomic location,,Charge (pH 7),,Kyte-Doolittle Hydrophobicity Value,,Molecular Weight (kDa),,Isoelectric Point (pI)
Q8X8J5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X8L3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X8T9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X8W2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X8Y7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X8Z9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X902	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X903	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X966	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X984	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X996	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X9B0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X9L1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X9T7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8X9V2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XA02	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XA55	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XAA8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XAC5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XAQ4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XAT3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XAT4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XB28	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XB34	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XB62	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XBF4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XBJ9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XBR3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XBV3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XC28	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XC76	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XC86	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XCA9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XCD0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XCF9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XCG0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XCI5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XCU8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XCV0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XCW5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XD03	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XD33	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XD88	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDD5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDE7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDE9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDF3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDF5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDF6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDG0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDL9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDP3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDR9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDS0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDW4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XDW9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XE27	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XE60	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XE67	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XE69	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XEA7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XEB4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8XEG2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y3P9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y3T4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y3Z5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y421	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y422	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y423	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y424	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y436	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y444	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y459	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y495	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y498	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4B2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4B3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4C0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4C6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4F0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4F3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4F7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4H0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4I1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4I2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4I4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4L1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4L6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4M2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4M3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4P6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4R1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4R7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4U6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4V1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y4V6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y560	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y563	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y568	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5E6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5F0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5G0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5H3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5M1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5N6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5N7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5N8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5Q9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5T8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5T9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5V0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5V8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5W6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5W7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5W8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y5X4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y606	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y614	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y629	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y633	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y642	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y679	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y680	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y683	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y692	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6C9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6D0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6E2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6E4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6E6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6J3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6J6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6J7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6K1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6K9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6L1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6M7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6N7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6P8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6Q0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6R4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6S6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6S8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6T2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6V0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6V1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6W0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6W1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6X5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6X9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6Y3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y6Y9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y701	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y731	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y732	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y735	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y741	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y742	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y766	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y786	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y791	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7A5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7B2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7D3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7F1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7F6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7G7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7H4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7J7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7L0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7L1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7L9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7N6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y7Q2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y822	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y832	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y835	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y837	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y846	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y850	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y862	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y863	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y864	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8A1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8D5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8E7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8E9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8G1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8K5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8K7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8K9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8N0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8P0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8W1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y8Z7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y904	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y907	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y912	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y915	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y966	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y979	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y9C1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y9H0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y9H5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y9L8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y9N9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8Y9Z6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YA11	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YA52	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YA67	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YA71	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YA96	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAA3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAA4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAB1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAC3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAC4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAC8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAD3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAD5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAE0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAF6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAM0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAM2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAM8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAN8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAR2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAR9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAT6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAU3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8YAW1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q8ZVF7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q926B4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q927L6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q927L9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q928S1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92A74	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92AU6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92BP2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92C24	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92C55	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92CZ4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92D14	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92EP8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92F34	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92F70	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92K10	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92K54	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92KQ7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92KY2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92KZ1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92LB1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92LK7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92M12	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92M81	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92M99	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92MD1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92MX0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92NH9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92NQ1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92P76	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92PH6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92Q54	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92Q64	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92Q74	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92QQ3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92QW9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92R51	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92R63	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92S95	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92SA9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92SE4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92SN6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92SW4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92SY9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92TA3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92TB0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92TC7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92TD5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92TF2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92TR1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92U49	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92UG6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92V36	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92V53	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92W79	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92WA9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92XE7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92Y59	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92ZQ4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92ZS6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q92ZY4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q930Y6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q93FE6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q93IG6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q93J44	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q93KQ6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q93RW6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q93UM1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97D25	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97D48	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97D91	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97D94	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97DB0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97DB2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97DT0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EC4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97ED5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EG6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EG8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EG9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EH0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EH3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EH4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EH5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EI1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EK6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EM3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97ES0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EU4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97EX5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97F13	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97F85	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97FM8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97FP8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97FT7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97GJ9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97GK5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97GM9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97GN4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97GY6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97HY8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97I34	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97I38	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97I46	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97I51	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97IG3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97IQ1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97IR8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97J91	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97JL7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97JN1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97K67	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97KG0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97KK8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97KM5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97L52	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97M85	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97MD0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97MP5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97TU9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97TV0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97TV2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97TW3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97TY6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97TZ0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97TZ1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U00	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U07	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U12	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U18	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U20	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U21	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U29	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U42	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U46	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U51	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U58	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U72	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U73	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U76	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U78	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U84	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U90	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U96	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U97	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97U98	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97UA1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97UA2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Q97UA3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
