Protein	Accession
I6WZI4	N/A
I6WZK7	LH57_04460;;Rv0822c
I6WZM9	RVBD_0846c;;LH57_04620;;Rv0846c;;P425_00886
I6WZS4	LH57_04335;;Rv0798c
I6X540	LH57_05025;;Rv0921
I6X5C9	Rv2683
I6X5I7	N/A
I6X5T4	Rv2786c
I6X6H8	N/A
I6X7G4	LH57_17165;;Rv3144c
I6X7W8	LH57_19050;;Rv3493c
I6X827	LH57_16050;;Rv2943
I6X8D2	N/A
I6X961	LH57_20715;;Rv3800c
I6XF31	Rv0461
I6XF52	LH57_14765;;Rv2696c
I6XF60	LH57_14890;;Rv2721c
I6XHG6	LH57_14940;;Rv2731
I6XVZ6	LH57_19240;;Rv3527
I6XW38	LH57_03705;;Rv0686
I6XWB9	Rv0730
I6XZC4	LH57_20070;;Rv3683
I6Y1H7	N/A
I6Y231	LH57_14735;;Rv2690c
I6Y242	LH57_16030;;Rv2940c
I6Y2E2	LH57_10560;;Rv1941
I6Y2G3	LH57_16650;;Rv3049c
I6Y2I9	Rv3068c
I6Y3S9	LH57_16880;;Rv3092c
I6Y3V3	LH57_19265;;Rv3530c
I6Y4D2	LH57_02530;;Rv0473
I6Y4U9	Rv3717
I6Y4V2	CAC99634
I6Y748	Rv0799c
I6Y778	CAC99630
I6Y7V6	LH57_01130;;Rv0204c
I6Y897	N/A
I6Y9K2	LH57_10480;;Rv1925
I6Y9Q3	LH57_13850;;Rv2528c
I6YA03	RVBD_1131;;Rv1131;;P425_01180
I6YA17	N/A
I6YA29	LH57_14780;;Rv2699c
I6YAV3	LH57_14855;;Rv2714
I6YC91	LH57_16410;;Rv3005c
I6YDN6	LH57_19030;;Rv3489
I6YF40	LH57_14680;;Rv2679
I6YG87	N/A
I6YHB0	LH57_18970;;Rv3477
I7FGY5	LH57_21000;;Rv3852
J9R0U7	N/A
K1VPX5	B739_2033
K1VZL1	SPLC1_S542750
K1W040	SPLC1_S550810
K1W0W3	SPLC1_S541610
K1W2U9	SPLC1_S531140
K1W772	SPLC1_S030400
K1W7L7	SPLC1_S201970
K1WFA9	SPLC1_S203620
K1WPM3	SPLC1_S050200
K1WR40	SPLC1_S082330
K1WSH3	SPLC1_S040130
K1X2U2	SPLC1_S033490
K1XE41	SPLC1_S501350
K1XG38	SPLC1_S050970
K4PDN9	SPLC1_S033300
L0T2Z1	Rv3075c
L0T905	CAC99566
L0TFC2	Rv1222
L7N653	Rv3344c
L7N657	Rv0197
L7N663	Rv0164
L7N664	LH57_18055;;Rv3305c
L7N668	CAC99513
L7N673	Rv3196A
L7N675	LH57_08950;;Rv1638A
L7N686	LH57_06560;;Rv1196
L7N690	LH57_08065;;Rv1471
L7N6A4	LH57_18060;;Rv3306c
L7N6B0	LH57_05460;;Rv1000c
L9UQ37	CAC99461
N1UKI7	C498_14488
O05223	LEP1GSC115_0110
O05236	LH57_01305;;Rv0237
O05251	BSU31410
O05268	BSU31530
O05310	CAC99409
O05312	LH57_06625;;Rv1209
O05389	Rv1211
O05410	BSU27770
O05436	BSU26830
O05442	LH57_21285;;Rv3909
O05450	Rv3903c
O05456	BSU32110
O05495	CAC99403
O05518	LH57_21175;;Rv3888c
O05519	BSU05940
O05520	BSU05950
O05521	BSU05960
O05582	CAC99345
O05634	BSU05970
O05640	Saci_0585
O05641	Saci_0578
O05771	CAC99316
O05773	Saci_0577
O05777	CAC99299
O05780	LH57_16920;;Rv3099c
O05823	LH57_16940;;Rv3103c
O05828	LH57_12955;;Rv2375
O05853	LH57_12930;;Rv2370c
O05855	LH57_16890;;Rv3094c
O05877	LH57_17555;;Rv3211
O05981	Rv3232c
O05982	Saci_0571
O06137	Saci_0570
O06159	LH57_08850;;Rv1620c
O06170	N/A
O06194	Rv2495c
O06218	N/A
O06243	Rv2159c
O06263	LH57_11615;;Rv2132
O06278	LH57_18820;;Rv3446c
O06311	LH57_19645;;Rv3604c
O06396	LH57_01945;;Rv0361
O06403	Rv0530
O06404	LH57_02880;;Rv0537c
O06457	LH57_14335;;Rv2619c
O06476	SSO1065
O06491	BSU07370
O06492	BSU06680
O06538	BSU06670
O06597	CAC99035
O06604	LH57_08710;;Rv1593c
O06611	Rv1586c
O06614	LH57_08640;;Rv1579c
O06802	LH57_06250;;Rv1138c
O06807	N/A
O06825	LH57_07975;;Rv1453
O06925	RVBD_1433;;Rv1433;;P425_01489
O06974	LH57_09680;;Rv1769
O06976	BSU34760
O07012	BSU34740
O07021	BSU34130
O07180	N/A
O07181	MT0820
O07196	MT0819
O07198	LH57_14755;;Rv2694c
O07227	MT2770
O07235	Rv0300
O07239	LH57_01680;;Rv0308
O07255	BSU34040
O07406	LH57_01800;;Rv0331
O07411	LH57_00905;;Rv0161
O07416	N/A
O07419	LH57_00960;;Rv0172
O07422	Rv0175
O07521	LH57_00930;;Rv0166
O07542	BSU09930
O07584	BSU09800
O07596	N/A
O07634	BSU09660
O07636	BSU14800
O07678	BSU14820
O07717	HP_1068
O07720	BSU09540
O07728	LH57_10420;;Rv1913
O07806	LH57_10370;;Rv1904
O07809	LH57_20805;;Rv3817
O07853	LH57_20790;;Rv3814c
O08309	Saci_1310
O08314	CA_C0518
O08335	N/A
O08357	HP_0281
O08359	Saci_1593
O08394	CAC98565
O24862	Saci_1597
O24870	N/A
O24875	HP_0017
O24895	N/A
O24900	HP_0054
O24904	HP_0060
O24911	HP_0064
O24916	HP_0033
O24922	HP_0090
O24934	N/A
O24974	HP_0112
O24978	HP_0096
O25008	HP_0173
O25029	HP_0220
O25032	HP_0247;;C694_01250
O25047	CAD00776
O25058	HP_0268
O25066	HP_0282
O25068	HP_0293
O25121	HP_0295
O25125	HP_0354
O25130	HP_0250
O25164	CAD00766
O25170	HP_0408
O25176	HP_0366
O25196	N/A
O25214	HP_0448
O25235	HP_0422
O25247	CAD00749
O25252	HP_0506
O25273	HP_0513
O25284	HP_0493
O25298	HP_0558
O25308	CAD00738
O25330	HP_0586
O25395	HP_0574
O25396	HP_0686
O25400	HP_0687
O25402	HP_0693
O25436	HP_0695
O25461	N/A
O25466	HP_0736
O25500	HP_0775
O25510	HP_0826
O25526	HP_0839
O25547	CAC98259
O25553	HP_0880
O25595	HP_0893
O25610	HP_0855;;C694_04380
O25616	N/A
O25661	HP_0963
O25664	HP_1017
O25672	HP_1020
O25695	HP_1028
O25752	HP_1055
O25806	HP_1127
O25819	HP_0956
O25852	N/A
O25879	HP_1220
O25953	N/A
O26013	HP_1403
O26019	HP_1300
O26037	CAD00701
O26046	HP_1507
O26058	HP_1517
O26090	HP_1485
O26094	HP_1570
O26098	HP_1574
O26103	HP_1578
O28471	HP_1583
O30245	AF_1804
O30409	CAC99408
O31149	N/A
O31447	CAC99081
O31458	AF_2426
O31462	BSU02360
O31487	CAC99106
O31489	BSU02400
O31501	BSU04780
O31509	BSU06710
O31540	BSU06840
O31541	BSU07210
O31544	SMc01708
O31556	BSU08010
O31567	BSU07220
O31587	BSU08440
O31592	BSU08880
O31605	BSU08990
O31609	BSU11540
O31611	BSU11580
O31612	BSU11600
O31618	BSU11610
O31622	SMc02582
O31629	BSU11690
O31644	SM_b21467
O31645	BSU12000
O31646	BSU11850
O31657	SM_b20012
O31662	BSU12020
O31663	BSU13550
O31666	BSU13560
O31669	BSU13590
O31672	BSU13620
O31673	BSU13670
O31684	BSU13700
O31691	CA_C3586
O31716	BSU13810
O31717	BSU14430
O31741	BSU14440
O31749	BSU16030
O31760	BSU16510
O31761	BSU16780
O31768	CA_C2229
O31771	BSU16880
O31774	BSU16910
O31777	BSU16810
O31782	CA_C1868
O31856	BSU17210
O31875	BSU19450
O31892	BSU20060
O31903	BSU17000
O31912	CA_C1816
O31962	BSU20450
O31989	BSU21210
O31993	BSU21490
O32022	BSU21530
O32033	BSU20350
O32038	BSU27330
O32039	BSU27550
O32049	SSO1709;;SSO1790
O32052	BSU27560
O32053	BSU27700
O32076	BSU27710
O32082	SSO0041;;SSO1263;;SSO1385;;SSO2993
O32104	BSU31010
O32113	BSU32030
O32119	BSU32160
O32129	BSU32220
O32132	BSU32330
O32144	BSU32360
O32151	BSU32480
O32157	BSU32550
O32162	SSO3172
O32163	BSU32610
O32164	BSU32680
O32165	SSO12068
O32169	BSU32690
O32173	SSO3139
O32175	BSU32750
O32178	SSO3123
O32213	BSU32810
O32222	BSU33430
O32224	BSU33520
O32231	BSU33540
O32259	SSO3110
O32264	BSU33610
O32294	SSO3080
O32504	BSU40300
O32712	DR_A0346
O32723	N/A
O33198	BSU34680
O33206	LH57_09245;;Rv1697
O33237	SSO3063
O33263	LH57_09310;;Rv1707
O33289	LH57_11600;;Rv2129c
O33298	Rv2747
O33329	SSO3061
O33332	LH57_15070;;Rv2756c
O33361	LH57_15240;;Rv2790c
O33600	Rv0516c
O33618	SSO3012
O33749	N/A
O33768	Saci_0051
O33770	SSO0589
O33775	SSO0592
O33780	SSO0599
O34094	SSO2990
O34153	LA_2637
O34154	SSO0602
O34206	SSO2987
O34303	N/A
O34324	EF_1929
O34325	SSO2975
O34328	BSU08090
O34334	BSU15680
O34338	BSU12410
O34347	BSU30760
O34384	BSU29450
O34410	SSO2881
O34425	BSU02910
O34443	BSU29020
O34445	BSU27610
O34447	BSU15070
O34486	SSO2766
O34499	BSU02920
O34507	SSO2759
O34512	BSU13010
O34513	BSU07420
O34529	BSU15060
O34530	BSU29190
O34536	BSU15780
O34542	BSU07440
O34549	SSO2693
O34588	BSU07650
O34591	BSU14100
O34618	BSU08070
O34633	SSO2661
O34647	BSU30530
O34660	BSU18850
O34687	BSU19310
O34709	BSU15080
O34714	BSU33840
O34722	SSO2620
O34751	BSU33240
O34759	SSO2608
O34760	BSU15840
O34764	BSU29890
O34788	BSU15590
O34795	SSO2572
O34810	BSU01870
O34812	BSU06240
O34824	BSU07450
O34832	BSU01770
O34833	BSU07500
O34859	BSU02940
O34860	SSO2518
O34863	BSU13410
O34872	BSU35160
O34904	SSO2506
O34909	BSU30690
O34924	BSU06560
O34948	BSU29860
O34949	BSU13960
O34962	BSU13340
O34967	BSU29220
O34968	SSO2365
O34979	BSU30700
O34981	BSU33270
O35004	BSU14180
O35019	BSU06200
O35033	BSU07870
O50147	SSO2297
O50397	BSU15700
O50416	LH57_18395;;Rv3368c
O50431	SSO2287
O50432	LH57_06460;;Rv1175c
O50464	LH57_06465;;Rv1176c
O50508	LH57_06830;;Rv1249c
O50515	N/A
O52631	LH57_18515;;Rv3390
O52632	CA_C0709
O52982	SSO2262
O53083	b2636;;BAE76771
O53148	CA_C0710
O53154	LH57_07990;;Rv1456c
O53165	SSO2241
O53181	LH57_08085;;Rv1474c
O53203	LH57_08025;;Rv1463
O53213	SSO2238
O53298	Rv2488c
O53310	LH57_16825;;Rv3081
O53321	Rv2476c
O53329	Rv3171c
O53343	LH57_17350;;Rv3179
O53346	SSO2183
O53353	LH57_17490;;Rv3200c
O53360	LH57_17465;;Rv3197
O53362	SSO9953
O53399	LH57_18085;;Rv3311
O53406	LH57_18070;;Rv3308
O53417	LH57_05815;;Rv1058
O53469	SSO1995
O53493	LH57_11020;;Rv2023c
O53509	Rv2051c
O53512	LH57_05870;;Rv1069c
O53521	Rv2178c
O53531	SSO1983
O53532	LH57_12305;;Rv2257c
O53547	Rv2187
O53564	SSO1974
O53578	LH57_19095;;Rv3502c
O53579	SSO9368
O53580	LH57_20710;;Rv3799c
O53598	Rv3801c
O53611	SSO1916
O53622	Rv3920c
O53641	SSO1893
O53672	LH57_00890;;Rv0158
O53673	LH57_00445;;Rv0077c
O53718	SSO1881
O53777	LH57_02055;;Rv0383c
O53789	LH57_03110;;Rv0580c
O53834	Rv0681
O53842	MT0844
O53857	LH57_04505;;Rv0831c
O53858	Rv0845
O53900	MT0869
O53901	LH57_05380;;Rv0987
O53977	LH57_08370;;Rv1527c
O54130	LH57_10760;;Rv1976c
O58655	N/A
O65934	BAA30058
O68970	Rv1747
O68973	SYNPCC7002_A1929
O69250	SYNPCC7002_A2009
O69289	LH57_01380;;Rv0251c
O69637	SSO1879
O69654	LH57_19995;;Rv3669
O69659	LH57_20090;;Rv3686c
O69670	Cj1221
O69684	SSO1850
O69690	MT3820
O69695	LH57_20290;;Rv3723
O69722	Rv3702c
O69850	SSO1824
O69879	N/A
O69896	CAA19383
O86312	N/A
O86320	LH57_06675;;Rv1219c
O86340	LH57_05320;;Rv0976c
O86351	LH57_11220;;Rv2061c
O86365	LH57_20465;;Rv3756c
O86517	SSO1818
O86525	N/A
O86560	N/A
O86575	N/A
O86637	N/A
O86716	N/A
O86757	N/A
O86775	N/A
O87527	CAA20386
O88017	DI45_01655
O88038	N/A
O88060	CAA19961
O93774	Rv0584
P00350	SSO1816
P00363	b2029;;BAA15869
P00370	b4154;;BAE78158
P00448	b1761;;BAA15550
P00509	b3908;;BAE77401
P00550	b0928;;BAA35674
P00562	b3599;;BAE77694
P00579	b3940;;BAE77370
P00582	b3067;;BAE77118
P00634	b3863;;BAE77445
P00811	b0383;;BAE76164
P00864	b4150;;BAE78154
P00909	b3956;;BAE77355
P00936	b1262;;BAA14794
P00946	b3806;;BAE77495
P00954	b1613;;BAA15361
P00956	b3384;;BAE77907
P00959	b0026;;BAB96595
P00961	b2114;;BAE76592
P00968	b3559;;BAE77735
P02344	SSO1108
P02359	SSO1809
P02394	SMc01906
P02903	SSO1806
P02925	N/A
P02931	b3751;;BAE77537
P02968	BSU01050
P02974	SSO8948
P03018	N/A
P03030	b3813;;BAE77487
P03943	b2839;;BAE76908
P03944	SYNPCC7002_A2210
P04036	SYNPCC7002_A2209
P04042	BSU35360
P04079	SSO1785
P04805	b2507;;BAA16394
P04831	b2400;;BAA16272
P04832	BSU29570
P04951	BSU09750
P04969	STM1917
P04990	BSU01420
P05052	SSO8892
P05055	b0564;;BAE76339
P05429	b3164;;BAE77210
P05431	BAA10458
P05459	NMB0018
P05645	BSU32250
P05651	BSU28270
P05652	BSU00040
P05653	BSU00060
P05654	BSU00070
P05793	SSO1655
P06224	BSU15490
P06533	BSU25200
P06534	SSO1626
P06535	BSU24220
P06612	BSU27930
P06616	b1274;;BAA14811
P06628	b2566;;BAE76742
P06959	BSU37130
P06999	b0115;;BAB96685
P07003	b1723;;BAA15500
P07012	b0871;;BAA35585
P07343	BSU24610
P07363	SSO1613
P07515	BSU33040
P07639	SSO1598
P07650	b3389;;BAE77902
P07784	b4382;;BAE78371
P07789	BSU08660
P08065	EF_0709
P08066	BSU28440
P08164	BSU28430
P08178	SSO1546
P08192	b2499;;BAA16387
P08200	b2315;;BAA16164
P08312	b1136;;BAA35958
P08400	b1714;;BAA15482
P08506	b0400;;BAE76180
P08821	BSU03130
P08838	BSU22790
P08839	SSO1512
P08874	BSU13910
P08877	BSU00370
P08997	SSO1500
P09030	b4014;;BAE78016
P09120	b1749;;BAA15540
P09124	BSU13900
P09152	SSO1498
P09169	b1224;;BAA36094
P09190	b0565;;BAA35199
P09193	BAA17092
P09323	BAA17799
P09339	BSU33940
P09373	SSO1487
P09384	b0903;;BAA35638
P09546	STM1921
P09819	BSU18000
P09835	SSO1448
P09924	SMa0819
P0A0D6	SSO1440
P0A0E0	N/A
P0A0E3	N/A
P0A0Q7	MPN_063
P0A252	SSO1436
P0A2D5	t2260;;CAD05084
P0A2D9	HP_0891
P0A2W5	SSO1435
P0A2Z0	STM4006
P0A345	SSO1433
P0A3B4	CAA20417
P0A3E6	SF3941;;S3805
P0A3F4	CAC99523
P0A3H5	Synpcc7942_0321
P0A435	CAB72196
P0A438	c2618
P0A439	L11208
P0A485	SSO1422
P0A491	CAD00626
P0A4D1	CAC99862
P0A4D2	Z5809;;BAB38599
P0A4P8	SF4354;;S4625
P0A4Q8	SF1824;;S1449
P0A4S0	CAD00735
P0A5B8	SF4198;;S4454
P0A5C0	Mb2057c
P0A5S5	Mb0358
P0A6A3	Mb0014c
P0A6A5	b2296;;BAA16135
P0A6A8	Z3558;;BAB36603
P0A6B0	b1094;;BAA35902
P0A6B7	Z1733;;BAB34895
P0A6D7	b2530;;BAA16424
P0A6E4	b3390;;BAE77901
P0A6F3	b3172;;BAE77217
P0A6F4	b3926;;BAE77384
P0A6F5	Z5471;;BAB38274
P0A6F7	b4143;;BAE78145
P0A6F8	Z5748;;BAB38547
P0A6F9	SF4297;;S4564
P0A6G1	b4142;;BAE78144
P0A6G2	Z5747;;BAB38546
P0A6G3	SF4296;;S4563
P0A6G9	b2700;;BAA16562
P0A6H1	Z0542;;BAB33914
P0A6H4	b0438;;BAE76218
P0A6H5	SF0383;;S0389
P0A6H6	b3931;;BAE77379
P0A6H7	Z5478;;BAB38281
P0A6I0	SF4009;;S3738
P0A6J5	b0910;;BAA35645
P0A6K6	b1189;;BAA36044
P0A6L0	b4383;;BAE78372
P0A6M8	b4381;;BAE78370
P0A6N0	b3340;;BAE77951
P0A6N3	Z4698;;BAB37614
P0A6N4	Z4697;;Z5553;;BAB37613;;BAB38326
P0A6N6	b4147;;BAE78149
P0A6N7	Z5752;;BAB38551
P0A6N8	SF4303;;S4570
P0A6P1	b2171;;BAA15980
P0A6P3	b0170;;BAB96746
P0A6P5	Z0181;;BAB33595
P0A6P7	b2511;;BAA16397
P0A6P9	b3865;;BAE77444
P0A6Q1	b2779;;BAE76853
P0A6Q2	Z4094;;BAB37062
P0A6Q3	SF2794;;S2988
P0A6T1	b0954;;BAA35712
P0A6T2	b4025;;BAE78027
P0A6T3	Z5623;;BAB38431
P0A6T5	b0757;;BAA35419
P0A6T8	b2153;;BAE76630
P0A6T9	SF2238;;S2367
P0A6U2	b2904;;BAE76969
P0A6V3	SF2890;;S3089
P0A6V4	Z4792;;BAB37698
P0A6V5	SF3453;;S4310
P0A6W7	b3425;;BAE77867
P0A6W9	Z4543;;BAB37483
P0A6X3	b2688;;BAA16555
P0A6X7	b4172;;BAE78173
P0A6Y1	b1712;;BAA15480
P0A6Y3	b0912;;BAA35656
P0A6Y8	Z1258;;BAB34418
P0A6Z0	b0014;;BAB96589
P0A6Z3	Z0014;;BAB33437
P0A6Z5	b0473;;BAE76252
P0A6Z9	Z0590;;BAB33949
P0A705	SF3499;;S4264
P0A706	b3168;;BAE77214
P0A707	Z4529;;BAB37472
P0A709	b1718;;BAA15485
P0A717	Z2747;;BAB35848
P0A719	b1207;;BAA36065
P0A722	Z1978;;BAB35135
P0A734	b0181;;BAA77856
P0A745	b1174;;BAA36008
P0A746	SF4268;;S4532
P0A759	b1778;;BAA15575
P0A761	b0678;;BAA35321
P0A763	b3223;;BAE77266
P0A764	b2518;;BAA16405
P0A769	Z3781;;BAB36803
P0A771	b2392;;BAA16262
P0A783	Z3658;;BAB36694
P0A796	SF0353;;S0361
P0A797	b3916;;BAE77394
P0A799	Z5460;;BAB38264
P0A7A9	b2926;;BAE76990
P0A7B0	b4226;;BAE78227
P0A7B5	Z5837;;BAB38627
P0A7C6	b0242;;BAA77911
P0A7C7	b4021;;BAE78023
P0A7D4	Z5612;;BAB38362
P0A7D9	b4177;;BAE78178
P0A7E5	Z3735;;BAB36761
P0A7E8	b2780;;BAE76854
P0A7F3	SF2795;;S2989
P0A7F8	b4244;;BAE78243
P0A7G2	SF0117;;S0119
P0A7G6	b3167;;BAE77213
P0A7G8	b2699;;BAA16561
P0A7G9	Z4002;;BAB36979
P0A7I0	SF2722;;S2913
P0A7I3	b1211;;BAA36069
P0A7I4	SF1214;;S1298
P0A7I9	b4375;;BAE78363
P0A7J3	SF1281;;S1364
P0A7K2	b3985;;BAE77335
P0A7K6	b3986;;BAE77334
P0A7K9	b2606;;BAA16491
P0A7L0	SF2666;;S2843
P0A7L5	b3984;;BAE77336
P0A7L8	Z2745;;BAB35846
P0A7M2	b3185;;BAE77229
P0A7M6	b3637;;BAE77655
P0A7M9	b3312;;BAE77979
P0A7N0	b3936;;BAE77374
P0A7N1	Z5484;;BAB38286
P0A7N3	b0296;;BAE76081
P0A7N4	Z0364;;BAB33750
P0A7N5	b1089;;BAA35897
P0A7N8	Z1728;;BAB34890
P0A7P1	SF1093;;S1173
P0A7P4	Z5060;;BAB37934
P0A7R1	SF3675;;S4093
P0A7R7	b4203;;BAE78204
P0A7R9	Z4692;;BAB37609
P0A7S2	b3297;;BAE77994
P0A7S3	SF3329;;S4433
P0A7S8	b3342;;BAE77949
P0A7S9	SF3360;;S4402
P0A7T3	b3298;;BAE77993
P0A7T5	b2609;;BAA16494
P0A7T6	Z3903;;BAB36895
P0A7T7	SF2669;;S2846
P0A7T9	b4202;;BAE78203
P0A7U2	Z5811;;BAB38601
P0A7U3	SF4355;;S4627
P0A7U6	b3316;;BAE77975
P0A7V0	SF3348;;S4414
P0A7V3	b0169;;BAB96744
P0A7V8	b3314;;BAE77977
P0A7W1	b3296;;BAE77995
P0A7W6	b3303;;BAE77988
P0A7W7	SF3335;;S4427
P0A7X3	b3306;;BAE77985
P0A7X5	b3230;;BAE77273
P0A7Y0	Z4588;;BAB37526
P0A7Z0	b2567;;BAE76743
P0A7Z2	b2914;;BAE76978
P0A7Z4	Z4252;;BAB37208
P0A7Z6	b3295;;BAE77996
P0A7Z9	Z4665;;BAB37583
P0A805	SF3327;;S4435
P0A807	b0172;;BAB96748
P0A808	Z0183;;BAB33597
P0A812	SF0162;;S0165
P0A817	b1860;;BAA15671
P0A825	b2942;;BAE77005
P0A827	b2551;;BAA16459
P0A836	SF2598;;S2770
P0A838	b0728;;BAA35394
P0A839	Z0882;;BAB34176
P0A850	SF0569;;S0582
P0A851	b0436;;BAE76216
P0A853	Z0541;;BAB33913
P0A858	b3708;;BAE77584
P0A861	b3919;;BAE77391
P0A862	SF3997;;S3750
P0A867	b1324;;BAA14906
P0A870	b2464;;BAA16339
P0A871	b0008;;BAB96586
P0A872	Z0008;;BAB33431
P0A877	SF0009;;S0008
P0A883	b1260;;BAA14792
P0A889	SF4425;;S4696
P0A894	SF3911;;S3843
P0A8A0	b3205;;BAE77249
P0A8A6	b1864;;BAA15675
P0A8B5	Z2732;;BAB35833
P0A8C4	b0471;;BAE76250
P0A8C6	b2909;;BAE76974
P0A8C7	Z4246;;BAB37203
P0A8E1	SF2895;;S3094
P0A8E7	b1108;;BAA35915
P0A8F2	b0426;;BAE76206
P0A8F3	Z3761;;BAB36783
P0A8F4	SF2542;;S2691
P0A8F7	b2066;;BAA15919
P0A8G6	SF2130;;S2254
P0A8G8	b1004;;BAA35771
P0A8I4	SF1008;;S1077
P0A8J4	SF0006;;S0006
P0A8J7	b0631;;BAA35274
P0A8L3	SF0650;;S0672
P0A8M0	Z1239;;BAB34401
P0A8M3	b0930;;BAA35682
P0A8M5	b1719;;BAA15498
P0A8M6	SF1512;;S1630
P0A8N3	b2007;;BAA15828
P0A8N5	b2890;;BAE76955
P0A8P4	b4129;;BAE78132
P0A8R3	Z4307;;BAB37261
P0A8R6	SF4007;;S3740
P0A8T7	Z4706;;BAB37622
P0A8T8	b3988;;BAE77332
P0A8T9	Z5561;;BAB38334
P0A8U5	SF4061;;S3674
P0A8U9	SF0195;;S0203
P0A8V2	SF4016;;S3731
P0A8V4	b3987;;BAE77333
P0A8V5	Z5560;;BAB38333
P0A8V6	SF4060;;S3675
P0A8Y3	b1187;;BAA36042
P0A8Y5	b3885;;BAE77424
P0A8Y7	b3697;;BAE77597
P0A8Z9	SF3767;;S4004
P0A904	Z4388;;BAB37342
P0A909	SF2520;;S2670
P0A910	SF1441;;S1556
P0A911	b0957;;BAA35715
P0A912	Z1307;;BAB34464
P0A915	b0741;;BAA35407
P0A916	b1256;;BAA14788
P0A917	SF1259;;S1345
P0A920	b0814;;BAA35486
P0A929	SF0765;;S0807
P0A949	SF0348;;S0356
P0A953	Z1703;;BAB34867
P0A955	b2323;;BAA16180
P0A961	b1850;;BAA15658
P0A972	SF2366;;S2501
P0A978	b0623;;BAA35266
P0A991	b0990;;BAA35756
P0A993	b2097;;BAE76584
P0A995	b4232;;BAE78232
P0A998	SF4258;;S4520
P0A9A2	b1905;;BAA15728
P0A9A6	b1902;;BAA15726
P0A9A8	b0095;;BAB96663
P0A9A9	Z0105;;BAB33522
P0A9B1	b0683;;BAA35331
P0A9B2	Z0831;;BAB34137
P0A9B4	b1779;;BAA15576
P0A9B5	Z2818;;BAB35911
P0A9C0	SF1444;;S1559
P0A9C3	b2241;;BAA16060
P0A9C5	b0756;;BAA35418
P0A9C7	b3870;;BAE77439
P0A9C8	Z5406;;BAB38215
P0A9D2	SF3940;;S3806
P0A9D8	b1635;;BAA15396
P0A9F5	b0166;;BAB96742
P0A9G6	Z2535;;BAB35270
P0A9H1	b4015;;BAE78017
P0A9H9	b3068;;BAE77119
P0A9J3	b1881;;BAA15697
P0A9J6	SF3285;;S3502
P0A9J8	b3752;;BAE77536
P0A9K3	b2599;;BAA16484
P0A9K5	b0660;;BAA35315
P0A9K6	Z0809;;BAB34121
P0A9K7	SF0622;;S0644
P0A9L3	b3724;;BAE77564
P0A9M0	b4207;;BAE78208
P0A9M2	b0439;;BAE76219
P0A9M5	b0125;;BAB96700
P0A9M6	b0238;;BAA77907
P0A9M8	Z0299;;BAB33688
P0A9M9	b2297;;BAA16136
P0A9N7	SF2373;;S2508
P0A9P0	SF0897;;S0961
P0A9P2	b0116;;BAB96686
P0A9P3	Z0126;;BAB33543
P0A9Q1	SF0113;;S0115
P0A9Q7	b4401;;BAE78390
P0A9Q8	b1241;;BAA36121
P0A9Q9	Z2016;;BAB35164
P0A9R4	b3433;;BAE77859
P0A9S3	b2525;;BAA16415
P0A9T0	b2091;;BAA15954
P0A9T3	b2913;;BAE76977
P0A9U3	SF2898;;S3098
P0A9V4	b0820;;BAA35501
P0A9W3	SF3241;;S3459
P0A9W5	b4391;;BAE78380
P0A9X1	SF4423;;S4694
P0A9X4	b1858;;BAA15666
P0A9X9	b3251;;BAE77293
P0A9Y6	b3556;;BAE77739
P0A9Z1	b1823;;BAA15634
P0A9Z3	b2553;;BAA16461
P0A9Z6	Z3829;;BAB36842
P0AA04	SF2600;;S2772
P0AA06	b2415;;BAA16289
P0AA10	Z3681;;BAB36710
P0AA12	b3231;;BAE77274
P0AA15	Z4589;;BAB37527
P0AA16	SF3271;;S3486
P0AA18	b3405;;BAE77886
P0AA21	Z4760;;BAB37670
P0AA25	SF3424;;S4339
P0AA48	b3781;;BAE77517
P0AAB6	Z3176;;BAB36239
P0AAB8	b2042;;BAA15896
P0AAB9	b3923;;BAE77387
P0AAC0	SF4001;;S3746
P0AAC2	b1333;;BAA14926
P0AAC3	Z2435;;BAB35337
P0AAF9	SF1837;;S1433
P0AAG8	SF0818;;S0860
P0AAG9	b2149;;BAE76626
P0AAI8	SF2234;;S2363
P0AAI9	SF1099;;S1179
P0AAJ7	b1092;;BAA35900
P0AAL8	SF3969;;S3779
P0AAN3	SF1702;;S1834
P0AAP0	b2727;;BAE76804
P0AAQ4	Z0478;;BAB33855
P0AAQ5	Z0511;;BAB33886
P0AAQ9	SF0347;;S0355
P0AAS1	SF0401;;S0408
P0AAT5	Z0570;;BAB33934
P0AAT9	SF0483;;S0492
P0AAU2	b0643;;BAA35290
P0AAU3	b0699;;BAA35358
P0AB14	Z0846;;BAB34151
P0AB18	b1003;;BAA35770
P0AB43	b0969;;BAA35734
P0AB52	b1179;;BAA36013
P0AB54	b1219;;BAA36087
P0AB69	SF1222;;S1306
P0AB70	Z2597;;BAB35731
P0AB71	SF1623;;S1755
P0AB72	b2925;;BAE76989
P0AB73	Z4263;;BAB37219
P0AB79	SF2910;;S3110
P0AB80	SF3657;;S4110
P0AB88	b3770;;BAE77527
P0AB89	SF2814;;S3009
P0AB92	b1131;;BAA35953
P0ABA0	Z0924;;BAB34205
P0ABA8	b3736;;BAE77552
P0ABB0	Z5231;;BAB38098
P0ABB2	b3734;;BAE77554
P0ABB3	Z5232;;BAB38099
