Protein	ID,,Proteins Number,,Species Number,,Description
Q4JBE9	N/A,,N/A,,N/A,,N/A
Q4JBF1	N/A,,N/A,,N/A,,N/A
Q4JBF6	HOG000232286,,35,,32,,NA
Q4JBF7	HOG000270369,,12,,12,,NA
Q4JBF9	HOG000270371,,11,,11,,NA
Q4JBG0	HOG000078523,,1591,,1168,,NA
Q4JBG8	HOG000271107,,12,,12,,NA
Q4JBH0	HOG000222847,,144,,122,,NA
Q4JBH1	HOG000271106,,12,,12,,NA
Q4JBH3	HOG000079916,,829,,388,,NA
Q4JBH7	HOG000222799,,84,,83,,NA
Q4JBI5	HOG000270409,,12,,12,,NA
Q4JBI7	HOG000270408,,15,,15,,NA
Q4JBI8	HOG000283762,,226,,213,,NA
Q4JBI9	HOG000041924,,265,,214,,NA
Q4JBJ2	HOG000248371,,127,,103,,NA
Q4JBJ4	HOG000283477,,1321,,990,,NA
Q4JBJ6	HOG000270406,,11,,11,,NA
Q4JBK3	HOG000290070,,607,,588,,NA
Q4JBK5	N/A,,N/A,,N/A,,N/A
Q4JBK7	N/A,,N/A,,N/A,,N/A
Q4JBL1	HOG000174613,,566,,428,,NA
Q4JBL5	HOG000290744,,285,,272,,NA
Q4JBL7	HOG000290407,,182,,181,,NA
Q4JBL9	HOG000290520,,480,,475,,NA
Q4JBM0	N/A,,N/A,,N/A,,N/A
Q4JBM5	HOG000270547,,12,,12,,NA
Q4JBM7	HOG000270552,,16,,16,,NA
Q4JBN2	HOG000085951,,348,,329,,NA
Q4JBN5	HOG000225863,,197,,153,,NA
Q4JBN7	HOG000270893,,13,,13,,NA
Q4JBN8	HOG000216706,,309,,257,,NA
Q4JBN9	HOG000223162,,37,,37,,NA
Q4JBP0	HOG000216620,,98,,85,,NA
Q4JBP1	HOG000106482,,986,,169,,NA
Q4JBP4	HOG000047201,,300,,176,,NA
Q4JBQ0	HOG000255839,,313,,272,,NA
Q4JBQ8	HOG000270642,,26,,13,,NA
Q4JBR0	HOG000116585,,308,,242,,NA
Q4JBR2	HOG000270892,,12,,12,,NA
Q4JBR8	HOG000270924,,17,,17,,NA
Q4JBS3	HOG000270919,,12,,12,,NA
Q4JBS4	HOG000270918,,12,,12,,NA
Q4JBS5	HOG000276708,,2493,,1269,,NA
Q4JBT0	HOG000270445,,12,,12,,NA
Q4JBT2	HOG000249873,,99,,82,,NA
Q4JBT5	HOG000270915,,26,,26,,NA
Q4JBT8	HOG000230665,,215,,156,,NA
Q4JBU2	HOG000108606,,6,,6,,NA
Q4JBU7	HOG000270804,,13,,13,,NA
Q4JBV3	HOG000245032,,211,,198,,NA
Q4JBV6	HOG000245032,,211,,198,,NA
Q4JBV7	HOG000229981,,1894,,947,,NA
Q4JBV8	HOG000263885,,216,,128,,NA
Q4JBW1	HOG000248342,,200,,182,,NA
Q4JBW3	HOG000108858,,118,,95,,NA
Q4JBW4	HOG000230998,,793,,614,,NA
Q4JBW8	HOG000270475,,15,,15,,NA
Q4JBW9	HOG000222653,,26,,25,,NA
Q4JBX3	HOG000247878,,412,,293,,NA
Q4JBY2	HOG000250411,,274,,265,,NA
Q4JBZ1	HOG000235950,,1563,,865,,NA
Q4JBZ2	HOG000272419,,763,,675,,NA
Q4JBZ3	HOG000222663,,34,,20,,NA
Q4JBZ4	HOG000270395,,12,,12,,NA
Q4JBZ5	HOG000223204,,27,,27,,NA
Q4JBZ6	HOG000228647,,87,,87,,NA
Q4JBZ7	HOG000270905,,12,,12,,NA
Q4JC00	HOG000227028,,100,,93,,NA
Q4JC03	HOG000008988,,1530,,1132,,NA
Q4JC07	HOG000270640,,12,,12,,NA
Q4JC08	HOG000270641,,19,,13,,NA
Q4JC09	HOG000226971,,390,,290,,NA
Q4JC14	HOG000244906,,36,,30,,NA
Q4JC15	HOG000222808,,19,,19,,NA
Q4JC24	N/A,,N/A,,N/A,,N/A
Q4JC29	HOG000108083,,11,,11,,NA
Q4JC39	HOG000281102,,494,,473,,NA
Q4JC40	HOG000270537,,12,,12,,NA
Q4JC42	HOG000270533,,12,,12,,NA
Q4JC44	HOG000222357,,27,,27,,NA
Q4JC46	HOG000072820,,483,,474,,NA
Q4JC47	HOG000225181,,201,,189,,NA
Q4JC48	HOG000270530,,14,,14,,NA
Q4JC51	HOG000007071,,278,,239,,NA
Q4JC56	HOG000019422,,1657,,934,,NA
Q4JC59	HOG000270639,,12,,12,,NA
Q4JC60	HOG000223000,,62,,60,,NA
Q4JC62	HOG000231201,,504,,445,,NA
Q4JC67	HOG000271000,,14,,14,,NA
Q4JC68	HOG000271001,,12,,12,,NA
Q4JC70	HOG000128541,,799,,511,,NA
Q4JC77	HOG000023020,,546,,415,,NA
Q4JC78	HOG000271005,,14,,14,,NA
Q4JC81	HOG000281217,,954,,736,,NA
Q4JC84	HOG000223755,,103,,102,,NA
Q4JC91	HOG000004470,,523,,514,,NA
Q4JC93	HOG000271511,,1019,,554,,NA
Q4JC94	N/A,,N/A,,N/A,,N/A
Q4JC95	HOG000223309,,17,,17,,NA
Q4JC96	HOG000173604,,1821,,1191,,NA
Q4JC98	HOG000271070,,10,,10,,NA
Q4JCA3	HOG000243801,,1211,,526,,NA
Q4JCA6	HOG000245250,,1477,,1361,,NA
Q4JCA9	HOG000276710,,792,,548,,NA
Q4JCB0	HOG000271075,,12,,12,,NA
Q4JCB3	HOG000223039,,21,,21,,NA
Q4JCB4	HOG000271078,,12,,12,,NA
Q4JCB8	HOG000271124,,15,,15,,NA
Q4JCC1	HOG000250278,,475,,375,,NA
Q4JCC2	HOG000270483,,5,,5,,NA
Q4JCC4	HOG000134633,,2,,2,,NA
Q4JCC9	HOG000283762,,226,,213,,NA
Q4JCD0	HOG000271101,,11,,11,,NA
Q4JCD1	HOG000270446,,6,,6,,NA
Q4JCD3	HOG000061736,,1004,,858,,NA
Q4JCD4	HOG000261970,,101,,76,,NA
Q4JCE1	HOG000018914,,425,,335,,NA
Q4JCE3	HOG000271041,,10,,10,,NA
Q4JCF8	HOG000270555,,14,,14,,NA
Q4JCH4	HOG000123402,,493,,371,,NA
Q4JCH7	HOG000105364,,98,,97,,NA
Q4JCH8	HOG000222650,,64,,64,,NA
Q4JCH9	HOG000078523,,1591,,1168,,NA
Q4JCI0	HOG000015513,,86,,86,,NA
Q4JCI3	HOG000223200,,39,,39,,NA
Q4JCI5	HOG000236578,,1169,,1111,,NA
Q4JCI9	HOG000003903,,188,,176,,NA
Q4JCJ0	HOG000271067,,12,,12,,NA
Q4JCJ1	HOG000038601,,36,,36,,NA
Q4JCJ2	HOG000022344,,1607,,1037,,NA
Q4JCJ3	HOG000228404,,522,,519,,NA
Q4JCJ5	HOG000134636,,2,,2,,NA
Q4JCK5	HOG000187907,,1107,,539,,NA
Q4JCK7	HOG000107871,,12,,12,,NA
Q4JCL2	N/A,,N/A,,N/A,,N/A
Q4JCL5	HOG000109939,,58,,56,,NA
Q4JCL6	HOG000230709,,84,,84,,NA
Q4JCM3	HOG000223294,,93,,93,,NA
Q4JCM5	HOG000017511,,1605,,1080,,NA
Q4JCM8	N/A,,N/A,,N/A,,N/A
Q4JCN6	HOG000045854,,854,,715,,NA
Q4JCN7	HOG000270614,,15,,15,,NA
Q4JCP3	HOG000144508,,908,,366,,NA
Q4JCP4	HOG000107827,,11,,11,,NA
Q4JCP7	HOG000270602,,11,,11,,NA
Q4JCP8	HOG000230140,,196,,84,,NA
Q50294	N/A,,N/A,,N/A,,N/A
Q50314	N/A,,N/A,,N/A,,N/A
Q50331	N/A,,N/A,,N/A,,N/A
Q50365	N/A,,N/A,,N/A,,N/A
Q50699	HOG000051904,,42,,41,,NA
Q50732	HOG000171143,,162,,160,,NA
Q51485	N/A,,N/A,,N/A,,N/A
Q51487	HOG000111955,,490,,279,,NA
Q51567	HOG000239685,,1344,,1077,,NA
Q52150	N/A,,N/A,,N/A,,N/A
Q52905	HOG000017847,,1618,,847,,NA
Q53874	HOG000225286,,1251,,1233,,NA
Q53WA9	HOG000260390,,121,,117,,NA
Q53WF6	HOG000105228,,4,,4,,NA
Q53WH8	HOG000048048,,52,,51,,NA
Q54146	HOG000266652,,901,,144,,NA
Q54714	HOG000233274,,180,,40,,NA
Q54715	HOG000233275,,66,,33,,NA
Q54735	HOG000125182,,257,,221,,NA
Q55013	HOG000276786,,31,,31,,NA
Q55080	HOG000243678,,1152,,223,,NA
Q55118	N/A,,N/A,,N/A,,N/A
Q55119	HOG000010048,,189,,174,,NA
Q55138	N/A,,N/A,,N/A,,N/A
Q55158	HOG000257443,,420,,390,,NA
Q55168	HOG000030537,,100,,71,,NA
Q55169	HOG000034820,,5387,,916,,NA
Q55171	HOG000037189,,15,,15,,NA
Q55176	HOG000035285,,25,,19,,NA
Q55199	HOG000236792,,158,,120,,NA
Q55247	HOG000017847,,1618,,847,,NA
Q55282	HOG000181428,,856,,534,,NA
Q55318	HOG000220125,,140,,91,,NA
Q55332	HOG000023243,,32,,28,,NA
Q55338	HOG000022685,,1275,,1211,,NA
Q55356	HOG000238646,,76,,56,,NA
Q55387	HOG000145843,,46,,44,,NA
Q55393	HOG000232413,,115,,44,,NA
Q55404	HOG000229981,,1894,,947,,NA
Q55406	HOG000270353,,386,,255,,NA
Q55418	HOG000113195,,997,,913,,NA
Q55420	HOG000168006,,1154,,983,,NA
Q55432	HOG000232613,,102,,40,,NA
Q55443	HOG000035244,,46,,20,,NA
Q55444	N/A,,N/A,,N/A,,N/A
Q55445	HOG000069560,,4,,4,,NA
Q55446	HOG000035242,,25,,15,,NA
Q55447	HOG000034820,,5387,,916,,NA
Q55457	HOG000035227,,21,,21,,NA
Q55460	HOG000196388,,322,,216,,NA
Q55461	HOG000134232,,201,,153,,NA
Q55466	N/A,,N/A,,N/A,,N/A
Q55474	HOG000037006,,21,,21,,NA
Q55483	HOG000054800,,480,,476,,NA
Q55498	HOG000034141,,565,,556,,NA
Q55499	HOG000106484,,1046,,569,,NA
Q55501	HOG000019423,,496,,278,,NA
Q55504	HOG000283476,,1080,,1069,,NA
Q55505	HOG000226717,,1592,,1365,,NA
Q55512	HOG000013357,,1008,,952,,NA
Q55514	HOG000035906,,12,,10,,NA
Q55517	HOG000037191,,21,,21,,NA
Q55522	HOG000020093,,765,,753,,NA
Q55527	HOG000035244,,46,,20,,NA
Q55531	HOG000232693,,144,,54,,NA
Q55544	HOG000276791,,28,,26,,NA
Q55549	N/A,,N/A,,N/A,,N/A
Q55551	HOG000233247,,60,,54,,NA
Q55557	HOG000247471,,13,,13,,NA
Q55563	N/A,,N/A,,N/A,,N/A
Q55564	HOG000036021,,22,,22,,NA
Q55574	HOG000037976,,337,,332,,NA
Q55581	HOG000035925,,22,,22,,NA
Q55607	HOG000032963,,89,,89,,NA
Q55614	N/A,,N/A,,N/A,,N/A
Q55623	HOG000233912,,24,,15,,NA
Q55641	HOG000003834,,182,,179,,NA
Q55659	N/A,,N/A,,N/A,,N/A
Q55664	HOG000227792,,426,,399,,NA
Q55665	HOG000020210,,1290,,999,,NA
Q55689	HOG000283475,,297,,198,,NA
Q55691	HOG000253626,,234,,135,,NA
Q55700	HOG000217276,,1719,,1069,,NA
Q55707	HOG000227268,,265,,205,,NA
Q55715	HOG000036782,,11,,11,,NA
Q55718	HOG000223177,,1372,,486,,NA
Q55726	HOG000037364,,20,,15,,NA
Q55727	HOG000037098,,20,,13,,NA
Q55729	HOG000200401,,850,,754,,NA
Q55746	HOG000294326,,775,,724,,NA
Q55750	HOG000216591,,643,,640,,NA
Q55756	HOG000234582,,1107,,1034,,NA
Q55757	HOG000130687,,3,,3,,NA
Q55759	HOG000221222,,1220,,1049,,NA
Q55764	HOG000247776,,2515,,1041,,NA
Q55765	HOG000276232,,1573,,345,,NA
Q55770	HOG000232430,,38,,38,,NA
Q55774	N/A,,N/A,,N/A,,N/A
Q55787	HOG000221014,,392,,389,,NA
Q55788	N/A,,N/A,,N/A,,N/A
Q55791	N/A,,N/A,,N/A,,N/A
Q55792	N/A,,N/A,,N/A,,N/A
Q55814	HOG000236213,,104,,90,,NA
Q55823	N/A,,N/A,,N/A,,N/A
Q55839	N/A,,N/A,,N/A,,N/A
Q55848	HOG000210449,,1091,,880,,NA
Q55865	HOG000167872,,198,,182,,NA
Q55874	N/A,,N/A,,N/A,,N/A
Q55885	N/A,,N/A,,N/A,,N/A
Q55897	HOG000233737,,38,,33,,NA
Q55905	HOG000230912,,222,,211,,NA
Q55913	HOG000036925,,10,,10,,NA
Q55918	HOG000137270,,2,,2,,NA
Q55943	HOG000098555,,344,,181,,NA
Q55949	HOG000256364,,143,,94,,NA
Q55956	HOG000045238,,88,,55,,NA
Q55962	N/A,,N/A,,N/A,,N/A
Q55972	HOG000228894,,2,,2,,NA
Q55982	HOG000221591,,156,,156,,NA
Q55989	HOG000224734,,75,,72,,NA
Q56312	N/A,,N/A,,N/A,,N/A
Q56582	N/A,,N/A,,N/A,,N/A
Q56584	N/A,,N/A,,N/A,,N/A
Q56587	N/A,,N/A,,N/A,,N/A
Q56921	N/A,,N/A,,N/A,,N/A
Q57014	HOG000276232,,1573,,345,,NA
Q57038	HOG000086791,,150,,137,,NA
Q57496	HOG000008259,,32,,32,,NA
Q57AG9	HOG000034819,,7735,,1099,,NA
Q57QC4	N/A,,N/A,,N/A,,N/A
Q58Z11	N/A,,N/A,,N/A,,N/A
Q59641	HOG000065978,,942,,543,,NA
Q59969	HOG000234583,,327,,282,,NA
Q59978	HOG000252083,,1144,,961,,NA
Q59992	HOG000161710,,1258,,1126,,NA
Q59993	HOG000285833,,2001,,1281,,NA
Q5DYQ6	HOG000251890,,12,,12,,NA
Q5HCP4	HOG000280316,,24,,24,,NA
Q5HCR7	N/A,,N/A,,N/A,,N/A
Q5HCU6	HOG000073502,,87,,86,,NA
Q5HCZ6	HOG000271511,,1019,,554,,NA
Q5HD02	HOG000218211,,1348,,965,,NA
Q5HD61	HOG000268676,,728,,601,,NA
Q5HDM2	HOG000280230,,26,,26,,NA
Q5HDW4	HOG000210610,,1251,,1228,,NA
Q5HDW6	HOG000248755,,743,,740,,NA
Q5HDW9	HOG000039891,,770,,744,,NA
Q5HDX0	HOG000231311,,1252,,1236,,NA
Q5HDX3	HOG000039903,,1269,,1234,,NA
Q5HDX4	HOG000248742,,1253,,1234,,NA
Q5HDX5	HOG000072595,,1252,,1235,,NA
Q5HDX6	HOG000039916,,1035,,1021,,NA
Q5HDX7	HOG000231262,,1265,,1238,,NA
Q5HDX9	HOG000238772,,1744,,1342,,NA
Q5HDY0	HOG000221323,,1327,,1218,,NA
Q5HDY2	HOG000039879,,1244,,1223,,NA
Q5HDY5	HOG000019780,,1441,,1323,,NA
Q5HE23	HOG000280086,,758,,339,,NA
Q5HE43	HOG000268678,,1060,,1043,,NA
Q5HE73	HOG000077515,,1117,,1102,,NA
Q5HE75	HOG000227793,,868,,468,,NA
Q5HE80	HOG000284894,,576,,556,,NA
Q5HE82	HOG000074815,,1493,,1327,,NA
Q5HE87	HOG000239403,,301,,289,,NA
Q5HE88	HOG000262754,,993,,951,,NA
Q5HE95	HOG000130111,,1447,,1267,,NA
Q5HEE0	HOG000046973,,234,,230,,NA
Q5HEH1	HOG000133897,,1737,,1302,,NA
Q5HEH2	HOG000076290,,1958,,1332,,NA
Q5HEL4	HOG000033912,,627,,616,,NA
Q5HEL8	HOG000218458,,502,,494,,NA
Q5HEM1	HOG000017523,,691,,681,,NA
Q5HEM3	HOG000223742,,818,,803,,NA
Q5HEU2	HOG000253897,,303,,300,,NA
Q5HF16	HOG000200748,,573,,566,,NA
Q5HF23	HOG000024359,,326,,251,,NA
Q5HF24	HOG000276705,,328,,285,,NA
Q5HF31	HOG000022956,,84,,83,,NA
Q5HF35	HOG000023247,,85,,84,,NA
Q5HF42	HOG000040280,,784,,585,,NA
Q5HF73	HOG000021671,,422,,412,,NA
Q5HF76	HOG000021559,,1076,,686,,NA
Q5HF90	HOG000003879,,274,,268,,NA
Q5HF97	HOG000218240,,518,,512,,NA
Q5HFA2	HOG000228587,,675,,643,,NA
Q5HFA4	HOG000020323,,1296,,1173,,NA
Q5HFA8	HOG000020093,,765,,753,,NA
Q5HFB9	HOG000019083,,500,,481,,NA
Q5HFC4	HOG000223473,,1315,,1197,,NA
Q5HFC8	HOG000036776,,1167,,1085,,NA
Q5HFD7	HOG000283481,,563,,361,,NA
Q5HFE5	HOG000040383,,254,,252,,NA
Q5HFE6	HOG000016953,,646,,636,,NA
Q5HFF2	HOG000241145,,1473,,1012,,NA
Q5HFH5	HOG000097049,,840,,834,,NA
Q5HFI0	HOG000228137,,481,,408,,NA
Q5HFI1	HOG000226717,,1592,,1365,,NA
Q5HFI7	HOG000229753,,128,,123,,NA
Q5HFJ5	HOG000242016,,385,,381,,NA
Q5HFJ9	HOG000270273,,1337,,867,,NA
Q5HFK3	HOG000224895,,184,,181,,NA
Q5HFK9	HOG000004838,,866,,637,,NA
Q5HFM3	HOG000132025,,338,,331,,NA
Q5HFM4	HOG000239368,,346,,339,,NA
Q5HFR2	HOG000255147,,905,,754,,NA
Q5HFS5	HOG000045296,,1000,,888,,NA
Q5HFU2	HOG000280040,,24,,24,,NA
Q5HFV0	HOG000043829,,749,,692,,NA
Q5HFV4	HOG000224564,,788,,532,,NA
Q5HFV7	HOG000060334,,453,,430,,NA
Q5HFX8	HOG000235844,,173,,171,,NA
Q5HG06	HOG000259588,,475,,459,,NA
Q5HG07	HOG000281563,,1017,,803,,NA
Q5HG66	HOG000283807,,590,,486,,NA
Q5HG69	HOG000025704,,576,,470,,NA
Q5HG77	HOG000225954,,956,,802,,NA
Q5HG86	HOG000087852,,816,,568,,NA
Q5HGC3	HOG000005156,,650,,549,,NA
Q5HGF7	HOG000218327,,415,,337,,NA
Q5HGG2	HOG000076906,,946,,843,,NA
Q5HGH4	HOG000220987,,408,,405,,NA
Q5HGH6	HOG000071892,,1365,,1282,,NA
Q5HGI6	HOG000239685,,1344,,1077,,NA
Q5HGI7	HOG000007059,,1445,,1080,,NA
Q5HGK2	N/A,,N/A,,N/A,,N/A
Q5HGK9	HOG000040463,,537,,529,,NA
Q5HGL4	HOG000217991,,687,,622,,NA
Q5HGN8	HOG000246402,,1109,,1000,,NA
Q5HGP5	HOG000049094,,1397,,1242,,NA
Q5HGP8	HOG000049428,,627,,621,,NA
Q5HGP9	HOG000275124,,515,,492,,NA
Q5HGQ5	HOG000279998,,64,,63,,NA
Q5HGV5	HOG000280077,,38,,20,,NA
Q5HGY8	HOG000276708,,2493,,1269,,NA
Q5HGY9	HOG000281564,,872,,599,,NA
Q5HGZ0	HOG000281451,,830,,565,,NA
Q5HGZ1	HOG000281335,,551,,347,,NA
Q5HH02	HOG000278399,,618,,503,,NA
Q5HH21	HOG000218242,,1566,,1309,,NA
Q5HH25	HOG000086398,,509,,421,,NA
Q5HH38	HOG000027942,,538,,511,,NA
Q5HH78	HOG000275803,,235,,177,,NA
Q5HH86	HOG000085597,,137,,91,,NA
Q5HH88	HOG000059940,,852,,759,,NA
Q5HHA2	HOG000246674,,1395,,1072,,NA
Q5HHB0	HOG000218211,,1348,,965,,NA
Q5HHC2	HOG000100403,,295,,286,,NA
Q5HHC7	HOG000243801,,1211,,526,,NA
Q5HHG0	HOG000235998,,477,,375,,NA
Q5HHG4	HOG000123287,,348,,318,,NA
Q5HHH4	HOG000283481,,563,,361,,NA
Q5HHP1	HOG000072173,,542,,524,,NA
Q5HHP3	HOG000226412,,500,,482,,NA
Q5HHP5	HOG000071678,,1398,,787,,NA
Q5HHR0	HOG000073580,,1245,,1229,,NA
Q5HHR8	HOG000074927,,368,,365,,NA
Q5HHS7	HOG000032390,,511,,452,,NA
Q5HHY2	HOG000221448,,814,,445,,NA
Q5HI51	HOG000279851,,52,,26,,NA
Q5HI88	HOG000053796,,477,,460,,NA
Q5HI89	HOG000011147,,107,,106,,NA
Q5HIA5	HOG000226072,,122,,104,,NA
Q5HIC2	HOG000034276,,224,,154,,NA
Q5HIC7	HOG000229290,,2011,,1346,,NA
Q5HIC8	HOG000231585,,1596,,1188,,NA
Q5HIC9	HOG000039067,,1279,,1235,,NA
Q5HID2	HOG000218387,,425,,422,,NA
Q5HID3	HOG000218611,,505,,498,,NA
Q5HID7	HOG000207015,,1265,,1237,,NA
Q5HID8	HOG000082123,,1412,,1290,,NA
Q5HIE7	HOG000252720,,860,,753,,NA
Q5HIF2	HOG000217970,,232,,230,,NA
Q5HIF5	HOG000227586,,552,,517,,NA
Q5HIF7	HOG000236578,,1169,,1111,,NA
Q5HIH4	HOG000214906,,305,,302,,NA
Q5HIH8	HOG000209336,,227,,192,,NA
Q5HIJ5	HOG000229078,,983,,950,,NA
Q5HIJ8	HOG000293240,,505,,495,,NA
Q5HIQ7	HOG000165754,,253,,243,,NA
Q5HIS8	HOG000106484,,1046,,569,,NA
Q5HIT8	HOG000246221,,722,,657,,NA
Q5HJ86	HOG000119940,,78,,76,,NA
Q5HJI0	HOG000102024,,219,,214,,NA
Q5HJM9	HOG000008159,,527,,514,,NA
Q5HJR8	HOG000279705,,18,,18,,NA
Q5HJU7	N/A,,N/A,,N/A,,N/A
Q5HJZ0	HOG000076278,,1197,,1141,,NA
Q5HJZ6	HOG000115689,,5,,6,,NA
Q5SH27	HOG000233259,,887,,855,,NA
Q5SH98	HOG000139454,,3,,3,,NA
Q5SHB2	HOG000264120,,1262,,1196,,NA
Q5SHD1	HOG000078520,,261,,235,,NA
Q5SHF7	HOG000227793,,868,,468,,NA
Q5SHQ9	HOG000238772,,1744,,1342,,NA
Q5SHV2	HOG000238625,,143,,136,,NA
Q5SI56	HOG000239405,,539,,319,,NA
Q5SI59	HOG000082629,,761,,744,,NA
Q5SI61	HOG000033912,,627,,616,,NA
Q5SIE6	HOG000139491,,3,,3,,NA
Q5SIH4	HOG000099180,,10,,10,,NA
Q5SIL2	HOG000002616,,19,,17,,NA
Q5SIY7	HOG000059941,,480,,449,,NA
Q5SJ45	HOG000020093,,765,,753,,NA
Q5SJ72	HOG000034820,,5387,,916,,NA
Q5SJ94	HOG000218242,,1566,,1309,,NA
Q5SJB8	HOG000021807,,101,,94,,NA
Q5SJC3	HOG000228542,,138,,138,,NA
Q5SJE8	HOG000226073,,467,,404,,NA
Q5SJE9	HOG000076952,,1091,,1046,,NA
Q5SJP2	HOG000197614,,552,,322,,NA
Q5SK59	HOG000076161,,387,,383,,NA
Q5SKC3	HOG000105064,,6,,6,,NA
Q5SKH7	HOG000069044,,304,,284,,NA
Q5SKH9	HOG000294672,,2013,,716,,NA
Q5SKJ3	HOG000268681,,197,,164,,NA
Q5SKV1	HOG000218210,,1302,,1073,,NA
Q5SKV6	HOG000239685,,1344,,1077,,NA
Q5SKV7	HOG000220953,,469,,342,,NA
Q5SKV9	HOG000293093,,893,,795,,NA
Q5SKW6	HOG000006844,,668,,661,,NA
Q5SL35	HOG000242849,,507,,501,,NA
Q5SL36	HOG000247371,,503,,498,,NA
Q5SLE0	HOG000268677,,357,,350,,NA
Q5SLM2	HOG000076290,,1958,,1332,,NA
Q5SM04	HOG000099394,,11,,11,,NA
Q5SM05	HOG000099391,,11,,11,,NA
Q5SM21	HOG000267705,,66,,62,,NA
Q5SM27	HOG000004785,,247,,192,,NA
Q5W264	N/A,,N/A,,N/A,,N/A
Q6MWW6	N/A,,N/A,,N/A,,N/A
Q6MWW7	N/A,,N/A,,N/A,,N/A
Q6MWZ4	N/A,,N/A,,N/A,,N/A
Q6MWZ8	HOG000248016,,114,,113,,NA
Q6MX13	HOG000220602,,14,,8,,NA
Q6MX17	HOG000045073,,52,,23,,NA
Q6MX28	HOG000220328,,7,,7,,NA
Q6MX43	HOG000229216,,251,,221,,NA
Q6N0G2	HOG000026620,,13,,12,,NA
Q6N0G9	HOG000084937,,430,,329,,NA
Q6N0K2	HOG000066785,,19,,7,,NA
Q6N0L2	HOG000247877,,595,,429,,NA
Q6N0T2	HOG000272519,,30,,15,,NA
Q6N122	HOG000042794,,11,,10,,NA
Q6N184	HOG000274135,,11,,8,,NA
Q6N205	HOG000252047,,58,,45,,NA
Q6N2W9	HOG000135879,,75,,29,,NA
Q6N387	HOG000202415,,428,,331,,NA
Q6N4H8	HOG000273959,,4,,4,,NA
Q6N4I2	HOG000250735,,37,,30,,NA
Q6N4Q4	HOG000229290,,2011,,1346,,NA
Q6N4Y2	HOG000271394,,271,,242,,NA
Q6N4Z3	HOG000220663,,101,,77,,NA
Q6N5C3	HOG000224565,,904,,809,,NA
Q6N5C6	HOG000070673,,794,,396,,NA
Q6N5H3	HOG000082933,,447,,414,,NA
Q6N5J7	HOG000021770,,89,,88,,NA
Q6N5K7	HOG000005157,,791,,771,,NA
Q6N5M1	HOG000043828,,2164,,1027,,NA
Q6N5Q2	HOG000071892,,1365,,1282,,NA
Q6N650	HOG000019802,,1205,,1193,,NA
Q6N693	HOG000239404,,1012,,869,,NA
Q6N6B2	HOG000152204,,372,,291,,NA
Q6N6I8	HOG000091866,,2004,,295,,NA
Q6N6P1	HOG000158248,,412,,310,,NA
Q6N6V1	HOG000010048,,189,,174,,NA
Q6N706	HOG000271835,,16,,16,,NA
Q6N717	HOG000223049,,297,,294,,NA
Q6N729	HOG000250842,,26,,26,,NA
Q6N808	HOG000224803,,634,,602,,NA
Q6N822	HOG000290519,,726,,534,,NA
Q6N899	N/A,,N/A,,N/A,,N/A
Q6N8A6	HOG000274049,,8,,8,,NA
Q6N938	HOG000027939,,3851,,771,,NA
Q6N973	HOG000255264,,664,,495,,NA
Q6N9K7	HOG000274149,,31,,22,,NA
Q6N9L2	HOG000149392,,134,,104,,NA
Q6N9L5	HOG000230332,,92,,31,,NA
Q6N9N5	HOG000228588,,511,,490,,NA
Q6N9P5	HOG000066786,,13,,7,,NA
Q6N9Q4	HOG000268677,,357,,350,,NA
Q6NAH9	HOG000271505,,3917,,751,,NA
Q6NAI0	HOG000243333,,1611,,708,,NA
Q6NAN5	HOG000283247,,775,,565,,NA
Q6NAX9	HOG000039664,,517,,463,,NA
Q6NB88	HOG000220876,,820,,202,,NA
Q6NBQ6	N/A,,N/A,,N/A,,N/A
Q6NC67	HOG000278514,,318,,316,,NA
Q6NC89	HOG000272524,,23,,10,,NA
Q6NCA9	HOG000271141,,16,,16,,NA
Q6NCE1	HOG000012238,,1651,,881,,NA
Q6NCN8	HOG000218327,,415,,337,,NA
Q6NCP1	HOG000218110,,535,,483,,NA
Q6NCQ5	HOG000019209,,475,,388,,NA
Q6NCW4	HOG000278398,,678,,600,,NA
Q6NCX7	HOG000223664,,758,,715,,NA
Q6ND51	HOG000226512,,63,,63,,NA
Q6ND84	HOG000263448,,259,,236,,NA
Q6NDB1	HOG000060392,,577,,538,,NA
Q6NDB8	HOG000239685,,1344,,1077,,NA
Q6NDC0	HOG000281563,,1017,,803,,NA
Q6NDC3	HOG000276708,,2493,,1269,,NA
Q6NDL1	HOG000271590,,10,,10,,NA
Q6NDM3	HOG000264438,,129,,127,,NA
Q6NDQ4	HOG000074926,,105,,104,,NA
Q6RKB1	N/A,,N/A,,N/A,,N/A
Q6U5Y3	N/A,,N/A,,N/A,,N/A
Q6UAC2	HOG000020885,,283,,271,,NA
Q6XKD8	N/A,,N/A,,N/A,,N/A
Q6YRP4	HOG000272689,,80,,67,,NA
Q6YRR4	HOG000143544,,2,,1,,NA
Q6YRR7	HOG000054492,,3,,2,,NA
Q6YRT1	N/A,,N/A,,N/A,,N/A
Q6YRT3	N/A,,N/A,,N/A,,N/A
Q6YRW6	HOG000001472,,43,,21,,NA
Q6YRX3	HOG000143544,,2,,1,,NA
Q6YS03	HOG000118888,,2,,2,,NA
Q6ZED5	HOG000143608,,2,,2,,NA
Q6ZEL7	HOG000036914,,20,,7,,NA
Q6ZEQ1	N/A,,N/A,,N/A,,N/A
