Protein	Description
Q5HFU2	SAUR93062:G1G4B-1634-MONOMER
Q5HFV0	SAUR93062:G1G4B-1623-MONOMER
Q5HFV4	SAUR93062:G1G4B-1618-MONOMER
Q5HFV7	SAUR93062:G1G4B-1616-MONOMER
Q5HFX8	SAUR93062:G1G4B-1595-MONOMER
Q5HG06	SAUR93062:G1G4B-1559-MONOMER
Q5HG07	SAUR93062:G1G4B-1558-MONOMER
Q5HG66	SAUR93062:G1G4B-1494-MONOMER
Q5HG69	SAUR93062:G1G4B-1489-MONOMER
Q5HG77	SAUR93062:G1G4B-1478-MONOMER
Q5HG86	SAUR93062:G1G4B-1469-MONOMER
Q5HGC3	SAUR93062:G1G4B-1430-MONOMER
Q5HGF7	SAUR93062:G1G4B-1395-MONOMER
Q5HGG2	SAUR93062:G1G4B-1390-MONOMER
Q5HGH4	SAUR93062:G1G4B-1377-MONOMER
Q5HGH6	SAUR93062:G1G4B-1375-MONOMER
Q5HGI6	SAUR93062:G1G4B-1364-MONOMER
Q5HGI7	SAUR93062:G1G4B-1363-MONOMER
Q5HGK2	N/A
Q5HGK9	SAUR93062:G1G4B-1341-MONOMER
Q5HGL4	SAUR93062:G1G4B-1335-MONOMER
Q5HGN8	SAUR93062:G1G4B-1310-MONOMER
Q5HGP5	SAUR93062:G1G4B-1303-MONOMER
Q5HGP8	SAUR93062:G1G4B-1300-MONOMER
Q5HGP9	SAUR93062:G1G4B-1299-MONOMER
Q5HGQ5	SAUR93062:G1G4B-1293-MONOMER
Q5HGV5	SAUR93062:G1G4B-1231-MONOMER
Q5HGY8	SAUR93062:G1G4B-1197-MONOMER
Q5HGY9	SAUR93062:G1G4B-1196-MONOMER
Q5HGZ0	SAUR93062:G1G4B-1195-MONOMER
Q5HGZ1	SAUR93062:G1G4B-1194-MONOMER
Q5HH02	SAUR93062:G1G4B-1180-MONOMER
Q5HH21	SAUR93062:G1G4B-1159-MONOMER
Q5HH25	SAUR93062:G1G4B-1151-MONOMER
Q5HH38	SAUR93062:G1G4B-1137-MONOMER
Q5HH78	SAUR93062:G1G4B-1093-MONOMER
Q5HH86	SAUR93062:G1G4B-1085-MONOMER
Q5HH88	SAUR93062:G1G4B-1083-MONOMER
Q5HHA2	SAUR93062:G1G4B-1070-MONOMER
Q5HHB0	SAUR93062:G1G4B-1062-MONOMER
Q5HHC2	SAUR93062:G1G4B-1050-MONOMER
Q5HHC7	SAUR93062:G1G4B-1041-MONOMER
Q5HHG0	SAUR93062:G1G4B-1007-MONOMER
Q5HHG4	SAUR93062:G1G4B-1002-MONOMER
Q5HHH4	SAUR93062:G1G4B-991-MONOMER
Q5HHP1	SAUR93062:G1G4B-916-MONOMER
Q5HHP3	SAUR93062:G1G4B-914-MONOMER
Q5HHP5	SAUR93062:G1G4B-912-MONOMER
Q5HHR0	N/A
Q5HHR8	SAUR93062:G1G4B-878-MONOMER
Q5HHS7	SAUR93062:G1G4B-869-MONOMER
Q5HHY2	SAUR93062:G1G4B-795-MONOMER
Q5HI51	SAUR93062:G1G4B-724-MONOMER
Q5HI88	SAUR93062:G1G4B-680-MONOMER
Q5HI89	SAUR93062:G1G4B-679-MONOMER
Q5HIA5	SAUR93062:G1G4B-661-MONOMER
Q5HIC2	SAUR93062:G1G4B-642-MONOMER
Q5HIC7	SAUR93062:G1G4B-637-MONOMER
Q5HIC8	SAUR93062:G1G4B-636-MONOMER
Q5HIC9	SAUR93062:G1G4B-635-MONOMER
Q5HID2	N/A
Q5HID3	SAUR93062:G1G4B-631-MONOMER
Q5HID7	SAUR93062:G1G4B-627-MONOMER
Q5HID8	SAUR93062:G1G4B-626-MONOMER
Q5HIE7	SAUR93062:G1G4B-615-MONOMER
Q5HIF2	SAUR93062:G1G4B-609-MONOMER
Q5HIF5	SAUR93062:G1G4B-606-MONOMER
Q5HIF7	SAUR93062:G1G4B-595-MONOMER
Q5HIH4	SAUR93062:G1G4B-578-MONOMER
Q5HIH8	SAUR93062:G1G4B-573-MONOMER
Q5HIJ5	SAUR93062:G1G4B-557-MONOMER
Q5HIJ8	SAUR93062:G1G4B-549-MONOMER
Q5HIQ7	SAUR93062:G1G4B-484-MONOMER
Q5HIS8	SAUR93062:G1G4B-458-MONOMER
Q5HIT8	SAUR93062:G1G4B-446-MONOMER
Q5HJ86	SAUR93062:G1G4B-289-MONOMER
Q5HJI0	SAUR93062:G1G4B-189-MONOMER
Q5HJM9	SAUR93062:G1G4B-128-MONOMER
Q5HJR8	N/A
Q5HJU7	N/A
Q5HJZ0	SAUR93062:G1G4B-6-MONOMER
Q5HJZ6	SAUR93062:G1G4B-2998-MONOMER
Q5SH27	MetaCyc:MONOMER-6801;;TTHE300852:G1GKC-1908-MONOMER
Q5SH98	TTHE300852:G1GKC-1841-MONOMER
Q5SHB2	TTHE300852:G1GKC-1827-MONOMER
Q5SHD1	TTHE300852:G1GKC-1808-MONOMER
Q5SHF7	TTHE300852:G1GKC-1781-MONOMER
Q5SHQ9	TTHE300852:G1GKC-1677-MONOMER
Q5SHV2	TTHE300852:G1GKC-1634-MONOMER
Q5SI56	TTHE300852:G1GKC-1530-MONOMER
Q5SI59	TTHE300852:G1GKC-1521-MONOMER
Q5SI61	TTHE300852:G1GKC-1519-MONOMER
Q5SIE6	TTHE300852:G1GKC-1433-MONOMER
Q5SIH4	TTHE300852:G1GKC-1400-MONOMER
Q5SIL2	TTHE300852:G1GKC-1360-MONOMER
Q5SIY7	TTHE300852:G1GKC-1233-MONOMER
Q5SJ45	TTHE300852:G1GKC-1174-MONOMER
Q5SJ72	TTHE300852:G1GKC-1147-MONOMER
Q5SJ94	TTHE300852:G1GKC-1126-MONOMER
Q5SJB8	TTHE300852:G1GKC-1103-MONOMER
Q5SJC3	TTHE300852:G1GKC-1098-MONOMER
Q5SJE8	TTHE300852:G1GKC-1073-MONOMER
Q5SJE9	TTHE300852:G1GKC-1072-MONOMER
Q5SJP2	TTHE300852:G1GKC-975-MONOMER
Q5SK59	TTHE300852:G1GKC-811-MONOMER
Q5SKC3	TTHE300852:G1GKC-737-MONOMER
Q5SKH7	TTHE300852:G1GKC-685-MONOMER
Q5SKH9	TTHE300852:G1GKC-683-MONOMER
Q5SKJ3	TTHE300852:G1GKC-669-MONOMER
Q5SKV1	TTHE300852:G1GKC-559-MONOMER
Q5SKV6	TTHE300852:G1GKC-554-MONOMER
Q5SKV7	TTHE300852:G1GKC-553-MONOMER
Q5SKV9	TTHE300852:G1GKC-551-MONOMER
Q5SKW6	TTHE300852:G1GKC-544-MONOMER
Q5SL35	TTHE300852:G1GKC-471-MONOMER
Q5SL36	TTHE300852:G1GKC-470-MONOMER
Q5SLE0	TTHE300852:G1GKC-368-MONOMER
Q5SLM2	TTHE300852:G1GKC-284-MONOMER
Q5SM04	TTHE300852:G1GKC-146-MONOMER
Q5SM05	TTHE300852:G1GKC-145-MONOMER
Q5SM21	TTHE300852:G1GKC-128-MONOMER
Q5SM27	TTHE300852:G1GKC-121-MONOMER
Q5W264	N/A
Q6MWW6	MTBH37RV:G185E-7791-MONOMER
Q6MWW7	MTBH37RV:G185E-7789-MONOMER
Q6MWZ4	MTBH37RV:G185E-7498-MONOMER
Q6MWZ8	MTBH37RV:G185E-7479-MONOMER
Q6MX13	MTBH37RV:G185E-7374-MONOMER
Q6MX17	MTBH37RV:G185E-7282-MONOMER
Q6MX28	MTBH37RV:G185E-4712-MONOMER
Q6MX43	MTBH37RV:G185E-4503-MONOMER
Q6N0G2	RPAL258594:TX73_RS24550-MONOMER
Q6N0G9	RPAL258594:TX73_RS24515-MONOMER
Q6N0K2	RPAL258594:TX73_RS24340-MONOMER
Q6N0L2	RPAL258594:TX73_RS24285-MONOMER
Q6N0T2	RPAL258594:TX73_RS23930-MONOMER
Q6N122	RPAL258594:TX73_RS23435-MONOMER
Q6N184	RPAL258594:TX73_RS23115-MONOMER
Q6N205	RPAL258594:TX73_RS21660-MONOMER
Q6N2W9	RPAL258594:TX73_RS20055-MONOMER
Q6N387	RPAL258594:TX73_RS19430-MONOMER
Q6N4H8	RPAL258594:TX73_RS17125-MONOMER
Q6N4I2	RPAL258594:TX73_RS17105-MONOMER
Q6N4Q4	RPAL258594:TX73_RS16590-MONOMER;;RPAL258594:TX73_RS16750-MONOMER
Q6N4Y2	RPAL258594:TX73_RS16330-MONOMER
Q6N4Z3	RPAL258594:TX73_RS16275-MONOMER
Q6N5C3	RPAL258594:TX73_RS15590-MONOMER
Q6N5C6	RPAL258594:TX73_RS15575-MONOMER
Q6N5H3	RPAL258594:TX73_RS15320-MONOMER
Q6N5J7	RPAL258594:TX73_RS15200-MONOMER
Q6N5K7	RPAL258594:TX73_RS15150-MONOMER
Q6N5M1	RPAL258594:TX73_RS15070-MONOMER
Q6N5Q2	RPAL258594:TX73_RS14900-MONOMER
Q6N650	RPAL258594:TX73_RS14135-MONOMER
Q6N693	RPAL258594:TX73_RS13915-MONOMER
Q6N6B2	RPAL258594:TX73_RS13820-MONOMER
Q6N6I8	RPAL258594:TX73_RS13400-MONOMER
Q6N6P1	RPAL258594:TX73_RS13110-MONOMER
Q6N6V1	RPAL258594:TX73_RS12805-MONOMER
Q6N706	RPAL258594:TX73_RS12525-MONOMER
Q6N717	RPAL258594:TX73_RS12470-MONOMER
Q6N729	RPAL258594:TX73_RS12410-MONOMER
Q6N808	RPAL258594:TX73_RS10675-MONOMER
Q6N822	RPAL258594:TX73_RS10605-MONOMER
Q6N899	N/A
Q6N8A6	N/A
Q6N938	RPAL258594:TX73_RS08740-MONOMER
Q6N973	RPAL258594:TX73_RS08300-MONOMER;;RPAL258594:TX73_RS08555-MONOMER
Q6N9K7	RPAL258594:TX73_RS07835-MONOMER
Q6N9L2	N/A
Q6N9L5	RPAL258594:TX73_RS07780-MONOMER
Q6N9N5	N/A
Q6N9P5	RPAL258594:TX73_RS07630-MONOMER
Q6N9Q4	RPAL258594:TX73_RS07575-MONOMER
Q6NAH9	RPAL258594:TX73_RS06160-MONOMER
Q6NAI0	RPAL258594:TX73_RS06155-MONOMER
Q6NAN5	RPAL258594:TX73_RS05860-MONOMER
Q6NAX9	N/A
Q6NB88	RPAL258594:TX73_RS04830-MONOMER
Q6NBQ6	N/A
Q6NC67	N/A
Q6NC89	RPAL258594:TX73_RS03020-MONOMER
Q6NCA9	N/A
Q6NCE1	RPAL258594:TX73_RS02750-MONOMER
Q6NCN8	RPAL258594:TX73_RS02240-MONOMER
Q6NCP1	RPAL258594:TX73_RS02225-MONOMER
Q6NCQ5	N/A
Q6NCW4	RPAL258594:TX73_RS01825-MONOMER
Q6NCX7	RPAL258594:TX73_RS01760-MONOMER
Q6ND51	RPAL258594:TX73_RS01335-MONOMER
Q6ND84	RPAL258594:TX73_RS01160-MONOMER
Q6NDB1	RPAL258594:TX73_RS01015-MONOMER
Q6NDB8	RPAL258594:TX73_RS00975-MONOMER
Q6NDC0	RPAL258594:TX73_RS00965-MONOMER
Q6NDC3	RPAL258594:TX73_RS00950-MONOMER
Q6NDL1	RPAL258594:TX73_RS00485-MONOMER
Q6NDM3	RPAL258594:TX73_RS00425-MONOMER
Q6NDQ4	RPAL258594:TX73_RS00265-MONOMER
Q6RKB1	MetaCyc:MONOMER-20627
Q6U5Y3	N/A
Q6UAC2	N/A
Q6XKD8	GCF_900078265:G1FMF-188-MONOMER
Q6YRP4	N/A
Q6YRR4	N/A
Q6YRR7	N/A
Q6YRT1	N/A
Q6YRT3	N/A
Q6YRW6	N/A
Q6YRX3	N/A
Q6YS03	N/A
Q6ZED5	N/A
Q6ZEL7	N/A
Q6ZEQ1	N/A
Q6ZES1	N/A
Q6ZES9	N/A
Q6ZET8	N/A
Q6ZEV3	N/A
Q6ZEW2	N/A
Q6ZEW4	N/A
Q72G88	TTHE262724:G1G0N-2012-MONOMER
Q72G91	TTHE262724:G1G0N-2009-MONOMER
Q72GE4	TTHE262724:G1G0N-1956-MONOMER
Q72GG0	TTHE262724:G1G0N-1938-MONOMER
Q72GJ2	TTHE262724:G1G0N-1903-MONOMER
Q72GJ3	TTHE262724:G1G0N-1902-MONOMER
Q72GJ6	N/A
Q72GM1	TTHE262724:G1G0N-1873-MONOMER
Q72GQ0	TTHE262724:G1G0N-1843-MONOMER
Q72GR8	N/A
Q72GS2	N/A
Q72GS6	TTHE262724:G1G0N-1817-MONOMER
Q72GW4	N/A
Q72GY7	TTHE262724:G1G0N-1748-MONOMER
Q72H36	TTHE262724:G1G0N-1694-MONOMER
Q72H65	TTHE262724:G1G0N-1664-MONOMER
Q72H73	N/A
Q72H76	TTHE262724:G1G0N-1653-MONOMER
Q72H84	TTHE262724:G1G0N-1641-MONOMER
Q72H94	N/A
Q72H95	N/A
Q72HJ9	TTHE262724:G1G0N-1515-MONOMER
Q72HR6	TTHE262724:G1G0N-1442-MONOMER
Q72HS2	N/A
Q72HY1	TTHE262724:G1G0N-1373-MONOMER
Q72I33	N/A
Q72I53	N/A
Q72ID4	N/A
Q72II3	TTHE262724:G1G0N-1169-MONOMER
Q72IJ6	TTHE262724:G1G0N-1156-MONOMER
Q72IN0	TTHE262724:G1G0N-1121-MONOMER
Q72IR9	TTHE262724:G1G0N-1082-MONOMER
Q72IV2	TTHE262724:G1G0N-1049-MONOMER
Q72IW9	N/A
Q72IY9	N/A
Q72J52	N/A
Q72JG7	TTHE262724:G1G0N-823-MONOMER
Q72JH2	TTHE262724:G1G0N-818-MONOMER
Q72JJ5	N/A
Q72JN9	TTHE262724:G1G0N-752-MONOMER
Q72JS7	TTHE262724:G1G0N-711-MONOMER
Q72K80	N/A
Q72K94	TTHE262724:G1G0N-568-MONOMER
Q72KG7	TTHE262724:G1G0N-377-MONOMER
Q72KV7	TTHE262724:G1G0N-421-MONOMER
Q72L91	TTHE262724:G1G0N-173-MONOMER
Q72LA0	TTHE262724:G1G0N-163-MONOMER
Q72LE2	TTHE262724:G1G0N-120-MONOMER
Q72LH0	TTHE262724:G1G0N-89-MONOMER
Q72LH1	TTHE262724:G1G0N-88-MONOMER
Q746M9	TTHE262724:G1G0N-2070-MONOMER
Q746N1	N/A
Q797B3	BSUB:BSU07260-MONOMER
Q79EE5	N/A
Q79FL8	MTBH37RV:G185E-5841-MONOMER
Q79FP1	MTBH37RV:G185E-5635-MONOMER
Q79FP2	MTBH37RV:G185E-5633-MONOMER
Q79FV7	MTBH37RV:G185E-4987-MONOMER
Q79FW0	MTBH37RV:G185E-4961-MONOMER
Q79PF4	SYNEL:SYNPCC7942_1216-MONOMER
Q7A4R9	SAUR158879:G1G21-1966-MONOMER
Q7AKG8	N/A
Q7AKN8	N/A
Q7AKQ4	N/A
Q7AKQ6	N/A
Q7AKR9	N/A
Q7AP59	LMON169963:LMO1601-MONOMER
Q7AP65	LMON169963:LMO1428-MONOMER
Q7APD8	N/A
Q7BBW0	BABO262698:G1G0O-2840-MONOMER
Q7BC73	N/A
Q7BSW5	N/A
Q7CDZ7	N/A
Q7CE61	N/A
Q7CE65	N/A
Q7D4L9	MTBCDC1551:GT3Z-8575-MONOMER
Q7D5R0	MTBCDC1551:GT3Z-7900-MONOMER
Q7D9D7	MTBCDC1551:GT3Z-5078-MONOMER
Q7D9F6	MTBCDC1551:GT3Z-5024-MONOMER
Q7D9S1	MTBCDC1551:GT3Z-4782-MONOMER
Q7DB53	ECOO157:Z5138-MONOMER
Q7DB54	ECOO157:Z5137-MONOMER
Q7DB80	ECOO157:ESPA-MONOMER
Q7DB81	ECOO157:ESPD-MONOMER
Q7DBF3	ECOO157:PER-MONOMER
Q7DBF4	ECOO157:WBDP-MONOMER
Q7DBF5	ECOO157:Z3198-MONOMER
Q7DBF6	ECOO157:FCI-MONOMER
Q7DBF8	ECOO157:GND-MONOMER
Q7DBL5	ECOO157:Z1933-MONOMER;;ECOO157:Z2110-MONOMER;;ECOO157:Z2375-MONOMER;;ECOO157:Z2429-MONOMER;;ECOO157:Z3093-MONOMER;;ECOO157:Z3299-MONOMER;;ECOO157:Z3922-MONOMER;;ECOO157:Z4335-MONOMER;;ECOO157:Z4502-MONOMER;;ECOO157:Z5879-MONOMER
Q7DC32	ECOO157:Z0367-MONOMER;;ECOO157:Z1929-MONOMER;;ECOO157:Z2130-MONOMER;;ECOO157:Z3156-MONOMER;;ECOO157:Z4337-MONOMER;;ECOO157:Z5098-MONOMER;;ECOO157:Z6016-MONOMER
Q7DDR9	NMEN122586:G1G1B-253-MONOMER
Q7DFN2	N/A
Q7LX34	SSOL273057:G1FZF-1241-MONOMER;;SSOL273057:G1FZF-1254-MONOMER;;SSOL273057:G1FZF-3339-MONOMER
Q7LX61	N/A
Q7LX66	N/A
Q7LX68	SSOL273057:G1FZF-2364-MONOMER
Q7LX71	SSOL273057:G1FZF-2361-MONOMER
Q7LX77	SSOL273057:G1FZF-2346-MONOMER
Q7LX81	SSOL273057:G1FZF-2342-MONOMER
Q7LX98	SSOL273057:G1FZF-2306-MONOMER
Q7LXD9	SSOL273057:G1FZF-886-MONOMER
Q7LXE1	SSOL273057:G1FZF-884-MONOMER
Q7LXE8	SSOL273057:G1FZF-877-MONOMER
Q7LXH4	SSOL273057:G1FZF-838-MONOMER
Q7LXI3	N/A
Q7LXJ1	N/A
Q7LXK8	SSOL273057:G1FZF-769-MONOMER
Q7LXM0	N/A
Q7LXM4	N/A
Q7LXN5	SSOL273057:G1FZF-699-MONOMER
Q7LXP0	SSOL273057:G1FZF-693-MONOMER
Q7LXP8	SSOL273057:G1FZF-683-MONOMER
Q7LXQ2	SSOL273057:G1FZF-679-MONOMER
Q7LXR4	SSOL273057:G1FZF-662-MONOMER
Q7LXR7	SSOL273057:G1FZF-653-MONOMER
Q7LXS7	SSOL273057:G1FZF-637-MONOMER
Q7LXS8	N/A
Q7LXT3	SSOL273057:G1FZF-617-MONOMER
Q7LXU0	SSOL273057:G1FZF-608-MONOMER
Q7LXU1	N/A
Q7LXV0	N/A
Q7LXV9	SSOL273057:G1FZF-562-MONOMER
Q7LXW0	SSOL273057:G1FZF-561-MONOMER
Q7LXW1	SSOL273057:G1FZF-559-MONOMER
Q7LXW8	SSOL273057:G1FZF-537-MONOMER
Q7LXX7	N/A
Q7LY03	SSOL273057:G1FZF-61-MONOMER
Q7LYI9	SSOL273057:G1FZF-3278-MONOMER
Q7LYK3	N/A
Q7M7K0	VVUL196600:GJ9W-1158-MONOMER
Q7M7K1	VVUL196600:GJ9W-1122-MONOMER
Q7MBT7	VVUL196600:GJ9W-5049-MONOMER
Q7MC40	VVUL196600:GJ9W-4946-MONOMER
Q7MCQ4	VVUL196600:GJ9W-4731-MONOMER
Q7MCZ7	N/A
Q7MDA6	VVUL196600:GJ9W-4526-MONOMER
Q7MDB5	VVUL196600:GJ9W-4517-MONOMER
Q7MDF9	VVUL196600:GJ9W-4473-MONOMER
Q7MDZ1	N/A
Q7MER8	VVUL196600:GJ9W-3995-MONOMER
Q7MET6	VVUL196600:GJ9W-3977-MONOMER
Q7MEX9	VVUL196600:GJ9W-3934-MONOMER
Q7MF23	VVUL196600:GJ9W-3890-MONOMER
Q7MFB1	N/A
Q7MFK7	VVUL196600:GJ9W-3705-MONOMER
Q7MG94	N/A
Q7MHJ1	VVUL196600:GJ9W-2946-MONOMER
Q7MHJ4	N/A
Q7MHV6	N/A
Q7MI44	VVUL196600:GJ9W-2731-MONOMER
Q7MI93	N/A
Q7MIE0	VVUL196600:GJ9W-2635-MONOMER
Q7MIU5	N/A
Q7MJ80	VVUL196600:GJ9W-2339-MONOMER
Q7MJS1	VVUL196600:GJ9W-2145-MONOMER
Q7MKX5	VVUL196600:GJ9W-1708-MONOMER
Q7MMH2	VVUL196600:GJ9W-1145-MONOMER
Q7MMR2	VVUL196600:GJ9W-1050-MONOMER
Q7MMU2	VVUL196600:GJ9W-1020-MONOMER
Q7MN57	N/A
Q7MNK1	N/A
Q7MNP3	VVUL196600:GJ9W-692-MONOMER
Q7MNX7	N/A
Q7MNY1	VVUL196600:GJ9W-603-MONOMER
Q7MP86	N/A
Q7MPQ9	VVUL196600:GJ9W-321-MONOMER
Q7TZN1	MBOV233413:G1GT4-1836-MONOMER
Q7UAE6	N/A
Q7UAH4	N/A
Q7UAV7	N/A
Q7UB34	N/A
Q7UBD3	N/A
Q7UBI7	N/A
Q7UBI8	N/A
Q7UBT0	N/A
Q7UBU3	N/A
Q7UBW5	N/A
Q7UC56	N/A
Q7UCT6	N/A
Q7UDL2	N/A
Q7WLU9	N/A
Q7WY61	BSUB:BSU27400-MONOMER
Q7ZAM1	N/A
Q81WK7	ANTHRA:CODY-MONOMER;;BANT260799:BAS3679-MONOMER
Q81ZL3	N/A
Q81ZL7	N/A
Q81ZM2	N/A
Q81ZM8	N/A
Q81ZN9	N/A
Q81ZS9	N/A
Q81ZT5	N/A
Q81ZT8	N/A
Q81ZU1	N/A
Q821A6	N/A
Q821C1	N/A
Q821C2	N/A
Q836B3	EFAE226185:G1G0C-1191-MONOMER
Q83IM5	N/A
Q83IP5	N/A
Q83IP6	N/A
Q83IR6	N/A
Q83IS3	N/A
Q83IT3	N/A
Q83IY3	N/A
Q83J15	N/A
Q83J38	N/A
Q83J89	N/A
Q83JA5	N/A
Q83JB3	N/A
Q83JC3	N/A
Q83JC4	N/A
Q83JF0	N/A
Q83JF9	N/A
Q83JH9	N/A
Q83JW6	N/A
Q83JW7	N/A
Q83JY2	N/A
Q83K06	N/A
Q83K21	N/A
Q83K44	N/A
Q83K48	N/A
Q83K86	N/A
Q83K95	N/A
Q83KA8	N/A
Q83KD8	N/A
Q83KK3	N/A
Q83KQ3	N/A
Q83KR7	N/A
Q83KS7	N/A
Q83KT5	N/A
Q83KW2	N/A
Q83KX8	N/A
Q83L36	N/A
Q83L37	N/A
Q83LF6	N/A
Q83LF7	N/A
Q83LJ2	N/A
Q83LN3	N/A
Q83LN4	N/A
Q83LX5	N/A
Q83LY1	N/A
Q83LY3	N/A
Q83M12	N/A
Q83M42	N/A
Q83ME5	N/A
Q83MF6	N/A
Q83MH2	N/A
Q83MH5	N/A
Q83MJ8	N/A
Q83MN1	N/A
Q83P35	N/A
Q83P38	N/A
Q83PC2	N/A
Q83PE8	N/A
Q83PF4	N/A
Q83PG1	N/A
Q83PG4	N/A
Q83PJ7	N/A
Q83PP2	N/A
Q83PR3	N/A
Q83PV3	N/A
Q83PY5	N/A
Q83PY6	N/A
Q83PY9	N/A
Q83Q07	N/A
Q83Q14	N/A
Q83QA2	N/A
Q83QD0	N/A
Q83QD5	N/A
Q83QD9	N/A
Q83QE0	N/A
Q83QK4	N/A
Q83QL1	N/A
Q83QN4	N/A
Q83QN9	N/A
Q83QQ5	N/A
Q83QQ8	N/A
Q83QR1	N/A
Q83QR3	N/A
Q83QS6	N/A
Q83QT8	N/A
Q83QV0	N/A
Q83QZ5	N/A
Q83R04	N/A
Q83R64	N/A
Q83R90	N/A
Q83RC0	N/A
Q83RE8	N/A
Q83RG1	N/A
Q83RJ4	N/A
Q83RN5	N/A
Q83RP1	N/A
Q83RP2	N/A
Q83RR8	N/A
Q83RU3	N/A
Q83RX5	N/A
Q83RX6	N/A
Q83S00	N/A
Q83S18	N/A
Q83S42	N/A
Q83S54	N/A
Q83SD5	N/A
Q83SE1	N/A
Q83SE5	N/A
Q83SE6	N/A
Q83SG2	N/A
Q83SM9	N/A
Q83SN2	N/A
Q83SN7	N/A
Q83SP1	N/A
Q83SQ0	N/A
Q84EC7	N/A
Q84F84	N/A
Q8CJR0	N/A
Q8CJR6	N/A
Q8CJR8	N/A
Q8CK13	N/A
Q8CWP9	N/A
Q8CXS7	N/A
Q8CY87	SPNE171101:SPR1851-MONOMER
Q8DR55	SPNE171101:SPR0334-MONOMER
Q8E1E6	SAGA208435:G1FZP-491-MONOMER
Q8E3U4	GCF_000196055:G1EE8-1780-MONOMER
Q8E6N7	N/A
Q8EIX3	SONE211586:G1GMP-666-MONOMER
Q8EXC5	LINT189518:G1GL4-3678-MONOMER
Q8EXH1	LINT189518:G1GL4-3639-MONOMER
Q8EYN0	LINT189518:G1GL4-3302-MONOMER
Q8F1E5	LINT189518:G1GL4-2546-MONOMER
Q8F1E7	LINT189518:G1GL4-2544-MONOMER
Q8F1I5	LINT189518:G1GL4-2520-MONOMER
Q8F1N3	LINT189518:G1GL4-2484-MONOMER
Q8F1N6	LINT189518:G1GL4-2481-MONOMER
Q8F1Q9	LINT189518:G1GL4-2460-MONOMER
Q8F1R0	LINT189518:G1GL4-2459-MONOMER
Q8F3D4	LINT189518:G1GL4-2017-MONOMER
Q8F3G9	LINT189518:G1GL4-1983-MONOMER
Q8F425	LINT189518:G1GL4-1800-MONOMER
Q8F491	LINT189518:G1GL4-1741-MONOMER
Q8F563	LINT189518:G1GL4-1457-MONOMER
Q8F663	LINT189518:G1GL4-1146-MONOMER
Q8F689	LINT189518:G1GL4-1123-MONOMER
Q8F6H8	LINT189518:G1GL4-1057-MONOMER
Q8F6H9	LINT189518:G1GL4-1056-MONOMER
Q8F6K1	LINT189518:G1GL4-1038-MONOMER
Q8F6U4	LINT189518:G1GL4-970-MONOMER
Q8F6Y5	LINT189518:G1GL4-936-MONOMER
Q8F701	LINT189518:G1GL4-926-MONOMER
Q8F7T3	LINT189518:G1GL4-700-MONOMER
Q8F7V3	LINT189518:G1GL4-681-MONOMER
Q8F850	LINT189518:G1GL4-569-MONOMER
Q8F8A5	LINT189518:G1GL4-528-MONOMER
Q8F8D0	LINT189518:G1GL4-505-MONOMER
Q8F9U8	LINT189518:G1GL4-78-MONOMER
Q8GP19	N/A
Q8GP20	N/A
Q8KX25	N/A
Q8NQJ3	CORYNE:G18NG-11024-MONOMER
Q8NU97	CORYNE:G18NG-9587-MONOMER;;GCF_000196335:G1EEA-47-MONOMER
Q8NU98	CORYNE:G18NG-9586-MONOMER;;GCF_000196335:G1EEA-46-MONOMER
Q8PEJ1	N/A
Q8PEL1	N/A
Q8PEM1	XAXO190486:XAC_RS21825-MONOMER
Q8PER7	XAXO190486:XAC_RS21540-MONOMER
Q8PES0	N/A
Q8PEV9	XAXO190486:XAC_RS21345-MONOMER
Q8PEW2	XAXO190486:XAC_RS21330-MONOMER
Q8PEX7	XAXO190486:XAC_RS21250-MONOMER
Q8PF94	XAXO190486:XAC_RS20600-MONOMER
Q8PFF4	N/A
Q8PFG9	XAXO190486:XAC_RS20210-MONOMER
Q8PFX5	N/A
Q8PG87	N/A
Q8PGB3	XAXO190486:XAC_RS18735-MONOMER
Q8PGG6	XAXO190486:XAC_RS18455-MONOMER
Q8PGJ4	XAXO190486:XAC_RS18320-MONOMER
Q8PGK4	N/A
Q8PGN7	N/A
Q8PGS0	XAXO190486:XAC_RS17925-MONOMER
Q8PH13	XAXO190486:XAC_RS17450-MONOMER
Q8PH73	XAXO190486:XAC_RS17155-MONOMER
Q8PH84	XAXO190486:XAC_RS17105-MONOMER
Q8PHY0	N/A
Q8PHZ9	XAXO190486:XAC_RS15720-MONOMER
Q8PI16	XAXO190486:XAC_RS15640-MONOMER
Q8PI44	XAXO190486:XAC_RS15505-MONOMER
Q8PIB8	XAXO190486:XAC_RS15125-MONOMER
Q8PIH1	XAXO190486:XAC_RS14860-MONOMER
Q8PII6	XAXO190486:XAC_RS14775-MONOMER
Q8PIN6	N/A
Q8PIR2	N/A
Q8PIR5	XAXO190486:XAC_RS14370-MONOMER
Q8PIV6	N/A
Q8PJ00	XAXO190486:XAC_RS13940-MONOMER
Q8PJ02	XAXO190486:XAC_RS13930-MONOMER
Q8PJ03	XAXO190486:XAC_RS13925-MONOMER
Q8PJ43	XAXO190486:XAC_RS13705-MONOMER
Q8PJH6	XAXO190486:XAC_RS13015-MONOMER
Q8PJT7	XAXO190486:XAC_RS12425-MONOMER
Q8PJW6	XAXO190486:XAC_RS12260-MONOMER
Q8PKC0	N/A
